gene,logFC,logCPM,F,PValue,FDR,Significant,direction
CHI3L1,4.103603731704906,10.603451635897404,9486.807661314007,1.9767861111811815e-43,3.0897166917761867e-39,TRUE,Up-regulated
ALOX15,-2.7621319956914467,8.834947263296211,6080.4737963205935,3.872385942852613e-40,3.026269614339317e-36,TRUE,Down-regulated
IGFBP3,2.7892924823805245,8.27614798218355,4819.134472725346,2.0211347009374012e-38,1.053011179188386e-34,TRUE,Up-regulated
SPOCK2,2.416906012709151,8.67147526813122,3513.0302926471804,4.330179875721042e-36,1.692017786437997e-32,TRUE,Up-regulated
RBP1,-2.67885573746976,6.178003188762534,2930.3938672030986,9.346811729201315e-35,2.921813346548331e-31,TRUE,Down-regulated
CDKN1A,2.4494916171636616,6.749156512800847,2518.7961001384892,1.2081845568007836e-33,3.119608047723239e-30,TRUE,Up-regulated
HLA-B,1.998496003334469,7.581795962970723,2497.221769763517,1.3971373214371514e-33,3.119608047723239e-30,TRUE,Up-regulated
MGP,2.780026240589769,5.727812928139339,2405.3485159885863,2.6313053870796587e-33,5.140912900006883e-30,TRUE,Up-regulated
POU3F4,-2.1961965318844343,6.4307381881478065,2274.3709464259746,6.768916686793839e-33,1.1755351979398633e-29,TRUE,Down-regulated
SRPX,2.010252807511671,6.505733633933161,2253.074657629098,7.932996549328626e-33,1.2399273606600642e-29,TRUE,Up-regulated
PIK3AP1,-1.7953064469412423,8.149923369149349,2237.122142859548,8.942975671403129e-33,1.2707155431275536e-29,TRUE,Down-regulated
C3,3.263719003557171,6.237411827259779,2198.5217391865317,1.1994270525832283e-32,1.562253735989655e-29,TRUE,Up-regulated
COL6A2,3.398701050457908,5.636706520005208,2186.6575977046436,1.3140765158227124e-32,1.579924303254538e-29,TRUE,Up-regulated
NEURL1B,1.6404025784851743,7.806238550540625,2173.657370725076,1.4528849147913824e-32,1.6220422298706647e-29,TRUE,Up-regulated
LRATD2,2.0125255258611525,6.26082273073201,2133.189948958575,1.9943584654685399e-32,2.0736426942522323e-29,TRUE,Up-regulated
GPNMB,4.622348315803117,4.431899593832294,2123.990274889635,2.146494277906449e-32,2.0736426942522323e-29,TRUE,Up-regulated
PTN,1.4791767567537382,8.486274937384856,2117.675760073611,2.255401522859114e-32,2.0736426942522323e-29,TRUE,Up-regulated
RGS5,2.6925717467504793,5.110811752926702,2045.7326644219925,4.037909919563162e-32,3.506251780154013e-29,TRUE,Up-regulated
BST2,2.2133861309926863,6.432400443458766,2002.6348978919532,5.778629701671753e-32,4.753683275638395e-29,TRUE,Up-regulated
SAMD9L,2.369297967821828,6.020777831049204,1879.342495910109,1.683483138261486e-31,1.3156420725513513e-28,TRUE,Up-regulated
ICAM1,3.3499961773056026,4.660086728388244,1857.8659402650742,2.042853976977815e-31,1.5204670314363454e-28,TRUE,Up-regulated
TRDC,-1.6481242489014694,7.395419098007701,1822.5922349058058,2.8190074637150815e-31,2.0027766662666694e-28,TRUE,Down-regulated
CTSS,4.680212628232147,4.14127318008474,1756.0698690257263,5.280935407591957e-31,3.588740018289665e-28,TRUE,Up-regulated
FN1,1.561842616149004,8.988815269526619,1748.0743552702488,5.68496893222523e-31,3.702336017111681e-28,TRUE,Up-regulated
CGNL1,-1.32135773460388,8.173916992858471,1707.9746177615912,8.394122312721162e-31,5.122868639280006e-28,TRUE,Down-regulated
C1S,1.8624481355059885,6.281385186236226,1706.4410978218693,8.521726463293675e-31,5.122868639280006e-28,TRUE,Up-regulated
CAVIN2,-1.4277555168272988,7.38292667385254,1676.7182733052919,1.144519530588748e-30,6.62549639374153e-28,TRUE,Down-regulated
HNRNPD,-1.3208138544650163,8.408035214958844,1659.9802333843677,1.3543887231718141e-30,7.560391336848376e-28,TRUE,Down-regulated
APLP1,1.4780125216604356,7.388743566954743,1616.753508177433,2.108514061432861e-30,1.1364163717308833e-27,TRUE,Up-regulated
DCN,-1.5668742172846333,7.183008152318435,1605.443621174273,2.371942548049252e-30,1.2357820675336604e-27,TRUE,Down-regulated
PDGFRA,1.743213621959397,5.957345000937269,1595.7753378075452,2.6247969224220166e-30,1.3234056741114876e-27,TRUE,Up-regulated
PLXNA4,3.3989096677313295,4.305166437410835,1580.3433675651493,3.0899178556620072e-30,1.5092317526249117e-27,TRUE,Up-regulated
SOD2,1.4133007955024603,8.009046627135767,1566.2358357822022,3.590207085075371e-30,1.7004526284766074e-27,TRUE,Up-regulated
GDF15,2.9566955885850432,5.053873556943781,1545.6599091492494,4.481223634467798e-30,1.98216344948166e-27,TRUE,Up-regulated
SLITRK2,2.5113596385720163,4.9698422126041,1544.6747226299472,4.529538004325114e-30,1.98216344948166e-27,TRUE,Up-regulated
TCIM,2.759808361837194,4.739963228766675,1543.9498449270066,4.56544364563914e-30,1.98216344948166e-27,TRUE,Up-regulated
JAG1,1.3293070437020047,7.741115869783399,1519.8357711583576,5.942205212548306e-30,2.5101802019494603e-27,TRUE,Up-regulated
UBE2J1,-1.179451921572263,8.662325862256468,1475.4146776345833,9.764639819085059e-30,4.016350536113144e-27,TRUE,Down-regulated
COL14A1,2.3552343380470555,5.058240150884672,1468.007254375508,1.0624032578202872e-29,4.2577853640336124e-27,TRUE,Up-regulated
PNMA2,2.05029345464734,5.4734787831524585,1450.6919100273426,1.295645866599957e-29,5.062736223739331e-27,TRUE,Up-regulated
DGKI,5.596153954502418,3.3087314949091837,1414.9094030415467,2.0446903961219364e-29,7.794758753996554e-27,TRUE,Up-regulated
AKR1C1,-2.0789747065926667,5.895389154611234,1399.6974438652755,2.3573426667643992e-29,8.772682352744658e-27,TRUE,Down-regulated
HEPH,2.5063327439678926,4.564749401813258,1390.1681332763158,2.6428828880199995e-29,9.606571985988975e-27,TRUE,Up-regulated
