NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36A	5410	1.485113501548767	-0.3466228	No	
row_1	RPS6KB2	11386	-3.0096640586853027	-0.72832054	No	
row_2	RPS6KA6	11777	-3.865818738937378	-0.75022024	No	
row_3	RPS20	12305	-5.078042030334473	-0.7799326	No	
row_4	RPS9	13070	-7.184749126434326	-0.82315254	No	
row_5	RPLP1	13394	-8.17821216583252	-0.83720165	No	
row_6	RPL17	13395	-8.185698509216309	-0.8304769	No	
row_7	RPS10	13697	-9.30688190460205	-0.84218425	No	
row_8	RPL22	13825	-9.764169692993164	-0.84232837	Yes	
row_9	RPL28	13924	-10.17216968536377	-0.8402727	Yes	
row_10	RPS6KA2	13954	-10.29623031616211	-0.8336787	Yes	
row_11	RPS27	14072	-10.775486946105957	-0.83234906	Yes	
row_12	RPS23	14079	-10.794565200805664	-0.82386684	Yes	
row_13	FAU	14130	-10.978684425354004	-0.8180624	Yes	
row_14	RPS29	14153	-11.09335994720459	-0.8103635	Yes	
row_15	RPS26	14175	-11.19080924987793	-0.80252016	Yes	
row_16	RPS6KA3	14285	-11.679603576660156	-0.7999334	Yes	
row_17	RPL39	14315	-11.796008110046387	-0.7921073	Yes	
row_18	RPL34	14379	-12.127610206604004	-0.7861948	Yes	
row_19	RPL30	14531	-12.808835983276367	-0.7853808	Yes	
row_20	RPS6KB1	14624	-13.354280471801758	-0.7803252	Yes	
row_21	RPL41	14670	-13.657282829284668	-0.7719987	Yes	
row_22	RPS28	14685	-13.80173397064209	-0.7615604	Yes	
row_23	RPS12	14691	-13.869492530822754	-0.75048774	Yes	
row_24	RPL7	14752	-14.197656631469727	-0.7426818	Yes	
row_25	RPS16	14762	-14.259075164794922	-0.73154634	Yes	
row_26	RPS13	14767	-14.274654388427734	-0.7200765	Yes	
row_27	RPL29	14816	-14.609992027282715	-0.7111603	Yes	
row_28	RPL31	14818	-14.636414527893066	-0.6992004	Yes	
row_29	RPL37	14867	-14.90073013305664	-0.69004536	Yes	
row_30	RPL9	14880	-14.992384910583496	-0.6785003	Yes	
row_31	RPS5	14900	-15.172036170959473	-0.6672577	Yes	
row_32	RPL15	14943	-15.508159637451172	-0.65721786	Yes	
row_33	RPS14	14956	-15.572731018066406	-0.645196	Yes	
row_34	RPS21	15028	-16.10309410095215	-0.63653195	Yes	
row_35	RPS27A	15057	-16.317636489868164	-0.6249269	Yes	
row_36	RPS6	15146	-17.044361114501953	-0.61658263	Yes	
row_37	RPS4X	15152	-17.084789276123047	-0.60286856	Yes	
row_38	RPL3	15183	-17.32544708251953	-0.5905642	Yes	
row_39	RPL10	15188	-17.35258674621582	-0.5765658	Yes	
row_40	RPS15A	15192	-17.387842178344727	-0.5624742	Yes	
row_41	RPL13A	15193	-17.406801223754883	-0.5481741	Yes	
row_42	RPS11	15211	-17.56793785095215	-0.5348346	Yes	
row_43	RPL37A	15232	-17.712499618530273	-0.5215693	Yes	
row_44	RPL27A	15275	-18.212257385253906	-0.5093079	Yes	
row_45	RPS3	15279	-18.248554229736328	-0.4945092	Yes	
row_46	RPL13	15287	-18.36396026611328	-0.47987282	Yes	
row_47	RPS19	15292	-18.405473709106445	-0.46500948	Yes	
row_48	RPL21	15294	-18.423128128051758	-0.4499387	Yes	
row_49	RPLP0	15318	-18.677471160888672	-0.43607354	Yes	
row_50	RPL26	15328	-18.7589054107666	-0.4212413	Yes	
row_51	RPLP2	15337	-18.934492111206055	-0.40620056	Yes	
row_52	RPL11	15339	-18.964879989624023	-0.39068472	Yes	
row_53	RPS7	15358	-19.289165496826172	-0.37599555	Yes	
row_54	RPL38	15360	-19.294116973876953	-0.36020926	Yes	
row_55	RPL18	15365	-19.356298446655273	-0.3445648	Yes	
row_56	RPS24	15368	-19.400415420532227	-0.32875547	Yes	
row_57	RPL23	15374	-19.438520431518555	-0.31310773	Yes	
row_58	RPL5	15391	-19.7288875579834	-0.29792872	Yes	
row_59	RPL27	15400	-19.851301193237305	-0.28213477	Yes	
row_60	RPS15	15407	-19.988595962524414	-0.26609942	Yes	
row_61	RPL12	15414	-20.09238052368164	-0.24997884	Yes	
row_62	RPL18A	15417	-20.1359920501709	-0.23356523	Yes	
row_63	MRPL19	15427	-20.338520050048828	-0.21743532	Yes	
row_64	RPL6	15444	-20.576908111572266	-0.20155963	Yes	
row_65	RPL32	15450	-20.710521697998047	-0.18486692	Yes	
row_66	RPL8	15452	-20.733230590820312	-0.16789837	Yes	
row_67	RPL35A	15461	-20.88759994506836	-0.15125307	Yes	
row_68	RPL35	15473	-21.149518966674805	-0.13458548	Yes	
row_69	RPL14	15482	-21.350923538208008	-0.11755956	Yes	
row_70	RPL36	15489	-21.452402114868164	-0.10032167	Yes	
row_71	RPL19	15492	-21.474063873291016	-0.08280881	Yes	
row_72	RPS8	15493	-21.475784301757812	-0.06516593	Yes	
row_73	RPL23A	15508	-21.695690155029297	-0.048242547	Yes	
row_74	RPSA	15525	-22.25623321533203	-0.030987253	Yes	
row_75	RPL10A	15532	-22.537046432495117	-0.012858305	Yes	
row_76	RPL4	15544	-23.165205001831055	0.00546521	Yes	
