NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OAS3	47	27.196956634521484	0.032183316	Yes	
row_1	OAS2	59	26.06110191345215	0.06521239	Yes	
row_2	MR1	79	25.084487915039062	0.09646252	Yes	
row_3	H2BC21	93	24.59823989868164	0.12746921	Yes	
row_4	OPTN	111	23.97885513305664	0.15741673	Yes	
row_5	GBP4	150	22.585081100463867	0.1842089	Yes	
row_6	TLR4	151	22.578929901123047	0.21343793	Yes	
row_7	AQP1	172	22.14879608154297	0.24082337	Yes	
row_8	NLRP1	182	21.87284278869629	0.2685593	Yes	
row_9	GBP1	205	21.45124626159668	0.2949131	Yes	
row_10	SERPINE1	206	21.439212799072266	0.32266673	Yes	
row_11	SHC1	238	20.710224151611328	0.3474822	Yes	
row_12	OAS1	317	19.116683959960938	0.36721092	Yes	
row_13	ZNFX1	323	19.053651809692383	0.3915547	Yes	
row_14	GBP3	337	18.73415756225586	0.4149702	Yes	
row_15	ISG15	346	18.559532165527344	0.4384813	Yes	
row_16	H2BC12	363	18.309476852416992	0.461154	Yes	
row_17	GBP2	422	17.571523666381836	0.48016924	Yes	
row_18	LYST	424	17.566329956054688	0.502845	Yes	
row_19	IL1B	506	16.472997665405273	0.51895833	Yes	
row_20	HLA-A	895	13.067313194274902	0.51091135	Yes	
row_21	XIAP	916	12.94575023651123	0.5263832	Yes	
row_22	LCN2	1048	11.9370698928833	0.5334078	Yes	
row_23	H2BC11	1111	11.556440353393555	0.544379	Yes	
row_24	PI3	1150	11.350410461425781	0.5566276	Yes	
row_25	CASP1	1289	10.56040096282959	0.5614197	Yes	
row_26	MAVS	1376	10.014129638671875	0.5688502	Yes	
row_27	SLC30A1	1429	9.767196655273438	0.5781486	Yes	
row_28	IL6	1521	9.412064552307129	0.584478	Yes	
row_29	S100A8	1586	9.098170280456543	0.59213823	Yes	
row_30	PLA2G2A	1690	8.622268676757812	0.59667325	Yes	
row_31	NOD2	1715	8.546770095825195	0.6061931	Yes	
row_32	NAGK	1770	8.331916809082031	0.61350477	Yes	
row_33	CEBPB	1854	8.040571212768555	0.6185735	Yes	
row_34	RNF213	1890	7.944164752960205	0.62660563	Yes	
row_35	DROSHA	2345	6.484391689300537	0.60579056	No	
row_36	SLPI	2447	6.186662673950195	0.60730124	No	
row_37	IL6R	2715	5.5277323722839355	0.5972789	No	
row_38	TLR9	2976	4.9187164306640625	0.58691853	No	
row_39	AKIRIN2	2980	4.9120564460754395	0.5930843	No	
row_40	SPN	3094	4.669276714324951	0.5918586	No	
row_41	IL23A	3662	3.6167984008789062	0.5600612	No	
row_42	GSDMB	3985	3.141444444656372	0.5434112	No	
row_43	TAB3	4044	3.0607151985168457	0.5436418	No	
row_44	TLR3	4247	2.758591890335083	0.53421664	No	
row_45	IFNE	4300	2.679591417312622	0.5343399	No	
row_46	RBCK1	4352	2.6163148880004883	0.5344456	No	
row_47	RARRES2	4370	2.5885353088378906	0.53670275	No	
row_48	TFEB	4571	2.3483290672302246	0.5268752	No	
row_49	MYD88	4966	1.9073611497879028	0.5039953	No	
row_50	TIRAP	5205	1.678742527961731	0.49085614	No	
row_51	IKBKG	5324	1.5592224597930908	0.48528275	No	
row_52	CASP4	5409	1.4856996536254883	0.48180166	No	
row_53	RNASE4	5723	1.2247074842453003	0.46324942	No	
row_54	CFP	5724	1.2234840393066406	0.46483323	No	
row_55	NOD1	5804	1.1646907329559326	0.4612583	No	
row_56	IL12A	5932	1.0621193647384644	0.45446235	No	
row_57	STAB2	5950	1.0524948835372925	0.45473108	No	
row_58	TAB2	6110	0.940000593662262	0.44571826	No	
row_59	MAP3K7	6115	0.9373749494552612	0.44667438	No	
row_60	GSDMC	6188	0.8741670250892639	0.44317368	No	
row_61	PYCARD	6196	0.8679715394973755	0.44384694	No	
row_62	NFKB1	6288	0.8063364624977112	0.43903604	No	
row_63	MARCHF2	6307	0.7935924530029297	0.4389053	No	
row_64	SLC15A2	6405	0.7299058437347412	0.43360943	No	
row_65	PLA2G6	6599	0.6270933151245117	0.42200404	No	
row_66	NLRC4	6876	0.46951812505722046	0.40485466	No	
row_67	LYG1	7270	0.26316049695014954	0.37991065	No	
row_68	MICA	7557	0.14006055891513824	0.3616914	No	
row_69	ANG	7709	0.08474034816026688	0.3520861	No	
row_70	SHARPIN	8531	-0.1847630739212036	0.29950407	No	
row_71	RIPK2	9074	-0.4366474747657776	0.26519832	No	
row_72	WFDC3	9166	-0.492466002702713	0.2599811	No	
row_73	ADAM17	9569	-0.758917510509491	0.23509982	No	
row_74	TLR2	10579	-1.7651516199111938	0.17246817	No	
row_75	TLR6	10755	-1.9756364822387695	0.1637666	No	
row_76	HMGB2	10913	-2.2078161239624023	0.15652367	No	
row_77	PRKCD	11266	-2.7762527465820312	0.13747075	No	
row_78	ANKRD17	12197	-4.837285041809082	0.08389874	No	
row_79	ROMO1	12486	-5.524742126464844	0.072521426	No	
row_80	FAU	14130	-10.978684425354004	-0.018973118	No	
row_81	NOS2	14232	-11.462821006774902	-0.0106322905	No	
row_82	RPL39	14315	-11.796008110046387	-6.377291E-4	No	
row_83	RPL30	14531	-12.808835983276367	0.002111059	No	
row_84	ANXA3	15055	-16.303436279296875	-0.010432294	No	
row_85	RAB1A	15260	-18.08155632019043	-1.5011537E-4	No	
row_86	RPS19	15292	-18.405473709106445	0.021681795	No	
