NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36A	5410	1.485113501548767	-0.34753895	No	
row_1	EIF3D	7290	0.25230520963668823	-0.46841532	No	
row_2	RPS27L	10417	-1.5708860158920288	-0.66877216	No	
row_3	EIF2B1	10879	-2.153752326965332	-0.697085	No	
row_4	EIF3H	11555	-3.33260440826416	-0.73842597	No	
row_5	EIF2S3	11780	-3.873105525970459	-0.750368	No	
row_6	EIF2B2	12076	-4.5416483879089355	-0.7664543	No	
row_7	RPL36AL	12207	-4.850736141204834	-0.7717134	No	
row_8	RPS20	12305	-5.078042030334473	-0.77470076	No	
row_9	EIF3C	12544	-5.664949893951416	-0.786394	No	
row_10	RPS9	13070	-7.184749126434326	-0.8155987	No	
row_11	EIF4A2	13153	-7.46182107925415	-0.81608903	No	
row_12	EIF2B3	13202	-7.613612174987793	-0.8142917	No	
row_13	EIF3F	13279	-7.833146095275879	-0.8141571	No	
row_14	RPLP1	13394	-8.17821216583252	-0.8162487	Yes	
row_15	RPL17	13395	-8.185698509216309	-0.81099206	Yes	
row_16	EIF3G	13562	-8.793844223022461	-0.81603795	Yes	
row_17	EIF2S1	13614	-8.952048301696777	-0.8135744	Yes	
row_18	EIF2B5	13638	-9.064725875854492	-0.8092348	Yes	
row_19	RPS10	13697	-9.30688190460205	-0.80699426	Yes	
row_20	RPL22	13825	-9.764169692993164	-0.8089048	Yes	
row_21	RPL28	13924	-10.17216968536377	-0.8086853	Yes	
row_22	UBA52	14000	-10.461018562316895	-0.8067987	Yes	
row_23	RPS27	14072	-10.775486946105957	-0.8044525	Yes	
row_24	RPS23	14079	-10.794565200805664	-0.79790694	Yes	
row_25	FAU	14130	-10.978684425354004	-0.7940775	Yes	
row_26	RPS29	14153	-11.09335994720459	-0.7883708	Yes	
row_27	RPS26	14175	-11.19080924987793	-0.78253704	Yes	
row_28	EIF2B4	14216	-11.348418235778809	-0.777826	Yes	
row_29	EIF5	14277	-11.657525062561035	-0.7742048	Yes	
row_30	RPL39	14315	-11.796008110046387	-0.76901305	Yes	
row_31	EIF3L	14338	-11.958008766174316	-0.76275104	Yes	
row_32	EIF3M	14376	-12.119810104370117	-0.7573514	Yes	
row_33	RPL34	14379	-12.127610206604004	-0.74969214	Yes	
row_34	EIF4B	14489	-12.643939018249512	-0.74859387	Yes	
row_35	RPL30	14531	-12.808835983276367	-0.7430094	Yes	
row_36	EIF4EBP1	14599	-13.20569133758545	-0.7388449	Yes	
row_37	RPL41	14670	-13.657282829284668	-0.7345836	Yes	
row_38	EIF3A	14682	-13.77502727508545	-0.7264462	Yes	
row_39	RPS28	14685	-13.80173397064209	-0.71771187	Yes	
row_40	RPS12	14691	-13.869492530822754	-0.7091273	Yes	
row_41	EIF3J	14726	-14.046828269958496	-0.70229685	Yes	
row_42	RPL7	14752	-14.197656631469727	-0.6947899	Yes	
row_43	RPS16	14762	-14.259075164794922	-0.6862128	Yes	
