NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36A	5410	1.485113501548767	-0.34734058	No	
row_1	EIF3D	7290	0.25230520963668823	-0.46815538	No	
row_2	RPS27L	10417	-1.5708860158920288	-0.6683778	No	
row_3	EIF3H	11555	-3.33260440826416	-0.7393534	No	
row_4	EIF2S3	11780	-3.873105525970459	-0.75118124	No	
row_5	RPL36AL	12207	-4.850736141204834	-0.7753603	No	
row_6	RPS20	12305	-5.078042030334473	-0.7782036	No	
row_7	EIF3C	12544	-5.664949893951416	-0.78973234	No	
row_8	RPS9	13070	-7.184749126434326	-0.818722	No	
row_9	EIF4A2	13153	-7.46182107925415	-0.81900245	No	
row_10	EIF3F	13279	-7.833146095275879	-0.82180274	No	
row_11	RPLP1	13394	-8.17821216583252	-0.82366353	Yes	
row_12	RPL17	13395	-8.185698509216309	-0.8181792	Yes	
row_13	EIF3G	13562	-8.793844223022461	-0.82297575	Yes	
row_14	EIF2S1	13614	-8.952048301696777	-0.8202617	Yes	
row_15	RPS10	13697	-9.30688190460205	-0.81930596	Yes	
row_16	RPL22	13825	-9.764169692993164	-0.82094127	Yes	
row_17	RPL28	13924	-10.17216968536377	-0.82043594	Yes	
row_18	UBA52	14000	-10.461018562316895	-0.8182562	Yes	
row_19	RPS27	14072	-10.775486946105957	-0.81560826	Yes	
row_20	RPS23	14079	-10.794565200805664	-0.8087623	Yes	
row_21	FAU	14130	-10.978684425354004	-0.8046261	Yes	
row_22	RPS29	14153	-11.09335994720459	-0.79861015	Yes	
row_23	RPS26	14175	-11.19080924987793	-0.79246455	Yes	
row_24	EIF5	14277	-11.657525062561035	-0.79115725	Yes	
row_25	RPL39	14315	-11.796008110046387	-0.78563637	Yes	
row_26	EIF3L	14338	-11.958008766174316	-0.7790412	Yes	
row_27	EIF3M	14376	-12.119810104370117	-0.77330333	Yes	
row_28	RPL34	14379	-12.127610206604004	-0.7653067	Yes	
row_29	EIF4B	14489	-12.643939018249512	-0.7638536	Yes	
row_30	RPL30	14531	-12.808835983276367	-0.75791174	Yes	
row_31	RPL41	14670	-13.657282829284668	-0.7576469	Yes	
row_32	EIF3A	14682	-13.77502727508545	-0.7491261	Yes	
row_33	RPS28	14685	-13.80173397064209	-0.7400078	Yes	
row_34	RPS12	14691	-13.869492530822754	-0.7310373	Yes	
row_35	EIF3J	14726	-14.046828269958496	-0.72381526	Yes	
row_36	RPL7	14752	-14.197656631469727	-0.71591264	Yes	
row_37	RPS16	14762	-14.259075164794922	-0.7069387	Yes	
row_38	RPS13	14767	-14.274654388427734	-0.6976324	Yes	
row_39	RPL29	14816	-14.609992027282715	-0.6909344	Yes	
row_40	RPL31	14818	-14.636414527893066	-0.6811925	Yes	
row_41	RPL37	14867	-14.90073013305664	-0.6742998	Yes	
row_42	EIF3I	14879	-14.991166114807129	-0.6649641	Yes	
row_43	RPS5	14900	-15.172036170959473	-0.65608674	Yes	
row_44	EIF4E	14905	-15.20562744140625	-0.64615667	Yes	
row_45	RPL15	14943	-15.508159637451172	-0.63814867	Yes	
row_46	EIF1AX	14954	-15.56581974029541	-0.6283636	Yes	
row_47	RPS14	14956	-15.572731018066406	-0.6179944	Yes	
row_48	EIF3E	14957	-15.576504707336426	-0.6075583	Yes	
row_49	EIF4H	15016	-16.001514434814453	-0.60057193	Yes	
row_50	RPS21	15028	-16.10309410095215	-0.59049124	Yes	
row_51	RPS27A	15057	-16.317636489868164	-0.5813615	Yes	
row_52	RPL24	15076	-16.53788948059082	-0.5714402	Yes	
row_53	RPS6	15146	-17.044361114501953	-0.5644634	Yes	
row_54	RPS4X	15152	-17.084789276123047	-0.55333865	Yes	
row_55	RPL3	15183	-17.32544708251953	-0.5436624	Yes	
row_56	RPL10	15188	-17.35258674621582	-0.5322939	Yes	
row_57	RPS15A	15192	-17.387842178344727	-0.52083737	Yes	
row_58	RPL13A	15193	-17.406801223754883	-0.509175	Yes	
row_59	EIF2S2	15210	-17.54591178894043	-0.4984496	Yes	
row_60	RPS11	15211	-17.56793785095215	-0.48667926	Yes	
row_61	RPL37A	15232	-17.712499618530273	-0.4760998	Yes	
row_62	RPL27A	15275	-18.212257385253906	-0.46660203	Yes	
row_63	RPS3	15279	-18.248554229736328	-0.45456883	Yes	
row_64	RPL13	15287	-18.36396026611328	-0.44271585	Yes	
row_65	RPS19	15292	-18.405473709106445	-0.43064192	Yes	
row_66	RPL21	15294	-18.423128128051758	-0.418363	Yes	
row_67	RPLP0	15318	-18.677471160888672	-0.4073302	Yes	
row_68	RPL26L1	15321	-18.689010620117188	-0.39493752	Yes	
row_69	RPL26	15328	-18.7589054107666	-0.38275555	Yes	
row_70	RPLP2	15337	-18.934492111206055	-0.37058473	Yes	
row_71	RPL11	15339	-18.964879989624023	-0.35794282	Yes	
row_72	RPS7	15358	-19.289165496826172	-0.34617823	Yes	
row_73	RPL38	15360	-19.294116973876953	-0.33331576	Yes	
row_74	RPL22L1	15362	-19.309921264648438	-0.3204427	Yes	
row_75	RPL18	15365	-19.356298446655273	-0.30760294	Yes	
row_76	RPS24	15368	-19.400415420532227	-0.2947336	Yes	
row_77	RPL23	15374	-19.438520431518555	-0.28203195	Yes	
row_78	EIF3B	15385	-19.549243927001953	-0.269578	Yes	
row_79	RPL5	15391	-19.7288875579834	-0.2566818	Yes	
row_80	RPL27	15400	-19.851301193237305	-0.24389671	Yes	
row_81	RPS15	15407	-19.988595962524414	-0.23089087	Yes	
