NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MGP	5	32.579830169677734	0.020426814	Yes	
row_1	APLP1	20	29.676023483276367	0.038423177	Yes	
row_2	NT5E	50	26.778499603271484	0.05360572	Yes	
row_3	CXCL8	53	26.440793991088867	0.07031635	Yes	
row_4	GLIPR1	58	26.087663650512695	0.08667296	Yes	
row_5	GEM	61	25.91681480407715	0.10304988	Yes	
row_6	VCAN	72	25.466026306152344	0.118623205	Yes	
row_7	ACTA2	80	25.060409545898438	0.13413188	Yes	
row_8	ITGA2	87	24.78468132019043	0.14952952	Yes	
row_9	TIMP1	94	24.535001754760742	0.16476813	Yes	
row_10	SDC4	100	24.391786575317383	0.1799801	Yes	
row_11	ADAM12	124	23.54623031616211	0.19349143	Yes	
row_12	PTHLH	127	23.3591251373291	0.20823939	Yes	
row_13	JUN	130	23.284595489501953	0.2229399	Yes	
row_14	VCAM1	132	23.256563186645508	0.2376871	Yes	
row_15	COL1A1	149	22.605310440063477	0.2510511	Yes	
row_16	ITGB3	166	22.32256317138672	0.26423502	Yes	
row_17	MMP14	181	21.883975982666016	0.27726874	Yes	
row_18	MYLK	193	21.734222412109375	0.29040077	Yes	
row_19	TNC	196	21.597583770751953	0.30402684	Yes	
row_20	ITGAV	244	20.526121139526367	0.31406522	Yes	
row_21	GADD45A	267	20.071243286132812	0.32542795	Yes	
row_22	THY1	268	20.04060935974121	0.3381915	Yes	
row_23	MSX1	290	19.634817123413086	0.34934086	Yes	
row_24	SERPINE2	298	19.466331481933594	0.36128673	Yes	
row_25	TNFAIP3	344	18.597192764282227	0.37022573	Yes	
row_26	PLAUR	349	18.531143188476562	0.38176972	Yes	
row_27	FZD8	366	18.265159606933594	0.39236954	Yes	
row_28	CALD1	374	18.176746368408203	0.4034941	Yes	
row_29	PRRX1	393	17.981595993041992	0.4137842	Yes	
row_30	WIPF1	402	17.900001525878906	0.42466795	Yes	
row_31	CD44	407	17.781009674072266	0.43573418	Yes	
row_32	BMP1	432	17.40885353088379	0.44527215	Yes	
row_33	COL12A1	447	17.136272430419922	0.45528212	Yes	
row_34	POSTN	484	16.79845428466797	0.46365657	Yes	
row_35	CD59	493	16.627023696899414	0.4737296	Yes	
row_36	FAS	545	16.05706214904785	0.48066345	Yes	
row_37	PTX3	618	15.220566749572754	0.48570874	Yes	
row_38	TFPI2	650	14.85682487487793	0.49316943	Yes	
row_39	GAS1	683	14.589515686035156	0.5003953	Yes	
row_40	TNFRSF12A	756	14.009427070617676	0.50466925	Yes	
row_41	LAMC2	810	13.645242691040039	0.5099379	Yes	
