NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1A	3	32.91786575317383	0.026762286	Yes	
row_1	BST2	14	31.238174438476562	0.051697847	Yes	
row_2	CXCL8	53	26.440793991088867	0.07089989	Yes	
row_3	OSMR	78	25.12286376953125	0.08992524	Yes	
row_4	IFITM1	81	24.966520309448242	0.11024082	Yes	
row_5	TIMP1	94	24.535001754760742	0.12955837	Yes	
row_6	CCR7	105	24.28321075439453	0.14879867	Yes	
row_7	IRAK2	107	24.204565048217773	0.16855477	Yes	
row_8	IRF1	110	23.98101043701172	0.18806334	Yes	
row_9	TNFRSF9	119	23.76982307434082	0.20701216	Yes	
row_10	KCNJ2	121	23.69588279724121	0.22635171	Yes	
row_11	LIF	142	22.851469039916992	0.24377494	Yes	
row_12	ITGB3	166	22.32256317138672	0.26057166	Yes	
row_13	MMP14	181	21.883975982666016	0.2775894	Yes	
row_14	CX3CL1	216	21.144102096557617	0.29271197	Yes	
row_15	ITGB8	223	20.961532592773438	0.30949008	Yes	
row_16	AHR	316	19.124799728393555	0.31922007	Yes	
row_17	HRH1	343	18.607257843017578	0.332781	Yes	
row_18	PLAUR	349	18.531143188476562	0.3476334	Yes	
row_19	SPHK1	362	18.311002731323242	0.36185426	Yes	
row_20	HAS2	370	18.235748291015625	0.37633583	Yes	
row_21	CSF1	478	16.831085205078125	0.38322052	Yes	
row_22	IL1B	506	16.472997665405273	0.3949693	Yes	
row_23	P2RX7	520	16.361047744750977	0.40752894	Yes	
row_24	NAMPT	549	15.992178916931152	0.4188195	Yes	
row_25	CALCRL	614	15.249482154846191	0.42718112	Yes	
row_26	CD82	621	15.13004207611084	0.43918395	Yes	
row_27	NMI	640	14.954900741577148	0.4502698	Yes	
row_28	HBEGF	702	14.419657707214355	0.4581453	Yes	
row_29	NFKBIA	815	13.568731307983398	0.4620362	Yes	
row_30	C5AR1	834	13.48078727722168	0.4719149	Yes	
row_31	TNFRSF1B	836	13.458540916442871	0.48287132	Yes	
row_32	IL1R1	837	13.45680046081543	0.4938908	Yes	
row_33	EREG	840	13.453012466430664	0.5047782	Yes	
row_34	ADM	850	13.363580703735352	0.5151411	Yes	
row_35	SLC31A1	939	12.734206199645996	0.51989585	Yes	
row_36	SELE	980	12.435935020446777	0.52750075	Yes	
row_37	CCL2	997	12.286125183105469	0.5365301	Yes	
row_38	PTPRE	1019	12.12689208984375	0.5451067	Yes	
row_39	LAMP3	1039	12.005790710449219	0.55371314	Yes	
row_40	IL1A	1117	11.509737014770508	0.5581743	Yes	
row_41	EMP3	1199	11.031712532043457	0.56198615	Yes	
row_42	MXD1	1276	10.609896659851074	0.5657749	Yes	
row_43	RGS16	1374	10.033888816833496	0.56773823	Yes	
row_44	IL6	1521	9.412064552307129	0.5660335	Yes	
row_45	MET	1559	9.248522758483887	0.57122165	Yes	
row_46	TNFAIP6	1624	8.94626235961914	0.5744217	Yes	
row_47	ATP2C1	1627	8.93667221069336	0.5816108	Yes	
row_48	NOD2	1715	8.546770095825195	0.58300096	Yes	
row_49	CMKLR1	1773	8.327820777893066	0.5861459	Yes	
row_50	GP1BA	1824	8.146180152893066	0.5895933	Yes	
row_51	CXCL11	1969	7.675240993499756	0.58659524	No	
row_52	CCL20	2050	7.354153156280518	0.58746004	No	
row_53	BTG2	2253	6.75294828414917	0.57996774	No	
row_54	ICOSLG	2296	6.624873161315918	0.5826851	No	
row_55	EIF2AK2	2376	6.353440761566162	0.58279496	No	
row_56	AXL	2396	6.310507297515869	0.58673763	No	
row_57	LPAR1	2548	5.917075157165527	0.58184856	No	
row_58	IRF7	2570	5.863257884979248	0.5852961	No	
row_59	KLF6	2626	5.713435649871826	0.58642906	No	
row_60	SELL	2932	5.020800590515137	0.57087827	No	
row_61	ADORA2B	2944	4.993774890899658	0.5742584	No	
row_62	TAPBP	2949	4.98464822769165	0.5780824	No	
row_63	ABCA1	3154	4.569081783294678	0.5686728	No	
row_64	EBI3	3204	4.46855354309082	0.5691731	No	
row_65	IFNAR1	3536	3.8255600929260254	0.55096745	No	
row_66	CCL24	3671	3.601201057434082	0.54527795	No	
row_67	ACVR2A	3791	3.4036762714385986	0.54039365	No	
row_68	P2RX4	3871	3.292009115219116	0.5379966	No	
row_69	IL15RA	3913	3.227895498275757	0.5379967	No	
row_70	TLR3	4247	2.758591890335083	0.5187884	No	
row_71	HIF1A	4341	2.6300652027130127	0.51494676	No	
row_72	CD14	4525	2.402662754058838	0.5051169	No	
row_73	C3AR1	4559	2.360365390777588	0.5049224	No	
row_74	GPC3	4700	2.188542127609253	0.49768925	No	
row_75	PTGER4	4755	2.1310477256774902	0.49595314	No	
row_76	FZD5	5040	1.8342065811157227	0.47914672	No	
row_77	NFKB1	6288	0.8063364624977112	0.39941764	No	
row_78	SRI	6624	0.6143707633018494	0.37832454	No	
row_79	NDP	6912	0.4496546983718872	0.36019096	No	
row_80	IFNGR2	7397	0.20666424930095673	0.3291585	No	
row_81	P2RY2	7687	0.09067481756210327	0.31060204	No	
row_82	EDN1	7869	0.03170802444219589	0.2989596	No	
row_83	RELA	8079	-0.02546672895550728	0.28550702	No	
row_84	IL15	8331	-0.10944479703903198	0.26941565	No	
row_85	PSEN1	8593	-0.20974737405776978	0.2527617	No	
row_86	SLC4A4	8768	-0.2804586589336395	0.24177425	No	
row_87	LDLR	8945	-0.3663667142391205	0.2307282	No	
row_88	SLC31A2	8982	-0.38885974884033203	0.22872585	No	
row_89	SLC11A2	9070	-0.4340822398662567	0.22347274	No	
row_90	RIPK2	9074	-0.4366474747657776	0.22363691	No	
row_91	INHBA	10002	-1.1244548559188843	0.16479751	No	
row_92	TLR1	10348	-1.4883155822753906	0.1437754	No	
row_93	PDE4B	10479	-1.641647219657898	0.1367391	No	
row_94	RNF144B	10509	-1.6767854690551758	0.13624267	No	
row_95	SGMS2	10517	-1.6865779161453247	0.1371725	No	
row_96	GABBR1	10606	-1.7926359176635742	0.13296743	No	
row_97	ACVR1B	11026	-2.373159885406494	0.107899405	No	
row_98	TNFSF10	11364	-2.966017484664917	0.088603094	No	
row_99	ATP2B1	11409	-3.0411901473999023	0.08825694	No	
row_100	ATP2A2	11413	-3.0472538471221924	0.090558864	No	
row_101	PDPN	11870	-4.059347629547119	0.06448638	No	
row_102	IL7R	11941	-4.227022647857666	0.06343515	No	
row_103	NPFFR2	12698	-6.069894313812256	0.019669184	No	
row_104	GNAI3	13740	-9.487679481506348	-0.039670907	No	
row_105	SLC7A1	13914	-10.119441986083984	-0.042536985	No	
row_106	KIF1B	14213	-11.330131530761719	-0.052469935	No	
row_107	PCDH7	14266	-11.62187671661377	-0.04630529	No	
row_108	SLC7A2	14542	-12.863218307495117	-0.05350011	No	
row_109	ADRM1	14569	-13.036571502685547	-0.04450088	No	
row_110	SEMA4D	14626	-13.359657287597656	-0.037171073	No	
row_111	SCN1B	14635	-13.413557052612305	-0.026702747	No	
row_112	CD55	14911	-15.271862030029297	-0.031925183	No	
row_113	RAF1	14914	-15.303703308105469	-0.019522263	No	
row_114	F3	15237	-17.744579315185547	-0.025749756	No	
row_115	LYN	15297	-18.463266372680664	-0.014434119	No	
row_116	SLC1A2	15445	-20.589815139770508	-0.0070501277	No	
row_117	MYC	15542	-23.0162353515625	0.0056085824	No	
