NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1A	3	32.91786575317383	0.022688685	Yes	
row_1	HLA-B	4	32.854759216308594	0.045527026	Yes	
row_2	BST2	14	31.238174438476562	0.06666106	Yes	
row_3	SAMD9L	15	30.77379035949707	0.088052854	Yes	
row_4	C1S	19	30.069473266601562	0.108761534	Yes	
row_5	MX1	35	28.433385848999023	0.12755883	Yes	
row_6	IFIT3	46	27.242280960083008	0.14585069	Yes	
row_7	OAS3	47	27.196956634521484	0.16475612	Yes	
row_8	IFI44L	51	26.548891067504883	0.18301754	Yes	
row_9	OAS2	59	26.06110191345215	0.20068184	Yes	
row_10	XAF1	70	25.523929595947266	0.21777922	Yes	
row_11	PARP14	82	24.959692001342773	0.23441987	Yes	
row_12	BTG1	88	24.75552749633789	0.25130564	Yes	
row_13	IRF1	110	23.98101043701172	0.2666209	Yes	
row_14	VCAM1	132	23.256563186645508	0.2814326	Yes	
row_15	STAT1	143	22.847816467285156	0.29666972	Yes	
row_16	GBP4	150	22.585081100463867	0.31198224	Yes	
row_17	IFIT1	183	21.870765686035156	0.32512105	Yes	
row_18	IFI44	214	21.177532196044922	0.33790696	Yes	
row_19	B2M	219	21.057764053344727	0.35228682	Yes	
row_20	HELZ2	228	20.816082000732422	0.36624065	Yes	
row_21	STAT2	241	20.656723022460938	0.37982565	Yes	
row_22	CD74	264	20.12839126586914	0.39239836	Yes	
row_23	IFI30	269	20.020923614501953	0.40605748	Yes	
row_24	OASL	284	19.76382064819336	0.4188928	Yes	
row_25	ZNFX1	323	19.053651809692383	0.42968628	Yes	
row_26	TNFAIP3	344	18.597192764282227	0.44132358	Yes	
row_27	ISG15	346	18.559532165527344	0.45416036	Yes	
row_28	TNFAIP2	356	18.489669799804688	0.46643254	Yes	
row_29	PARP12	392	17.983436584472656	0.4766756	Yes	
row_30	IFIH1	454	17.08776092529297	0.48461884	Yes	
row_31	MVP	503	16.53400421142578	0.49301574	Yes	
row_32	IFI27	504	16.503265380859375	0.5044877	Yes	
row_33	IFITM3	508	16.454730987548828	0.51573235	Yes	
