NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDC45	2228	6.829593181610107	-0.14012912	No	
row_1	CANX	4509	2.4307007789611816	-0.2860144	No	
row_2	RRM1	4705	2.1863317489624023	-0.29741257	No	
row_3	POLE3	4963	1.9144339561462402	-0.3129621	No	
row_4	RFC4	5816	1.1513941287994385	-0.3673446	No	
row_5	CSTF2	6187	0.8761206269264221	-0.3907563	No	
row_6	HPRT1	7203	0.29984113574028015	-0.4561274	No	
row_7	EIF3D	7290	0.25230520963668823	-0.46154252	No	
row_8	TYMS	7817	0.04717943072319031	-0.49547857	No	
row_9	PRPF31	8126	-0.04375175014138222	-0.51534104	No	
row_10	MAD2L1	9136	-0.47274231910705566	-0.5802305	No	
row_11	U2AF1	9176	-0.4941752552986145	-0.5824791	No	
row_12	UBE2E1	9205	-0.5122276544570923	-0.5840076	No	
row_13	CCNA2	9599	-0.7818138599395752	-0.6089558	No	
row_14	CDK2	9876	-1.0109983682632446	-0.62622476	No	
row_15	USP1	10334	-1.4735313653945923	-0.6549279	No	
row_16	H2AZ1	10580	-1.7664183378219604	-0.6697834	No	
row_17	SSBP1	10614	-1.7981539964675903	-0.67093354	No	
row_18	STARD7	11139	-2.5767111778259277	-0.7033611	No	
row_19	IFRD1	11327	-2.913306713104248	-0.7138463	No	
row_20	SF3A1	11458	-3.1190996170043945	-0.7205391	No	
row_21	UBA2	11659	-3.566406726837158	-0.73150754	No	
row_22	COPS5	11708	-3.678694248199463	-0.73260075	No	
row_23	CDK4	11763	-3.8289947509765625	-0.7339994	No	
row_24	CAD	12382	-5.2538676261901855	-0.77103627	No	
row_25	DUT	12509	-5.581020355224609	-0.7761283	No	
row_26	AP3S1	12579	-5.778046131134033	-0.77743256	No	
row_27	VDAC3	12612	-5.8871941566467285	-0.7762884	No	
row_28	MCM5	12667	-5.984604835510254	-0.77651155	No	
row_29	NCBP1	12714	-6.137185096740723	-0.77613497	No	
row_30	UBE2L3	12864	-6.527223587036133	-0.78219604	No	
row_31	SNRPD3	13021	-7.031829833984375	-0.7884339	No	
row_32	KPNA2	13050	-7.134189605712891	-0.78635144	No	
row_33	ETF1	13292	-7.862780570983887	-0.7976243	No	
row_34	SNRPB2	13350	-8.03528881072998	-0.7969229	No	
row_35	PSMC6	13491	-8.53255844116211	-0.8013094	Yes	
row_36	AIMP2	13497	-8.542434692382812	-0.796974	Yes	
row_37	NOP16	13538	-8.683293342590332	-0.7948217	Yes	
row_38	EIF2S1	13614	-8.952048301696777	-0.7947826	Yes	
