NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1A	3	32.91786575317383	0.02125404	Yes	
row_1	GEM	61	25.91681480407715	0.034459498	Yes	
row_2	BIRC3	69	25.528640747070312	0.05064076	Yes	
row_3	BTG1	88	24.75552749633789	0.06560798	Yes	
row_4	SDC4	100	24.391786575317383	0.08079023	Yes	
row_5	TRAF1	108	24.165023803710938	0.09608302	Yes	
row_6	IRF1	110	23.98101043701172	0.11164337	Yes	
row_7	LAMB3	115	23.87909507751465	0.12694359	Yes	
row_8	TNFRSF9	119	23.76982307434082	0.14223719	Yes	
row_9	JUN	130	23.284595489501953	0.1567626	Yes	
row_10	KLF10	134	23.1779842376709	0.17167059	Yes	
row_11	EGR2	140	22.962190628051758	0.18630882	Yes	
row_12	LIF	142	22.851469039916992	0.2011332	Yes	
row_13	PPP1R15A	145	22.742626190185547	0.2158221	Yes	
row_14	RELB	160	22.476272583007812	0.22956257	Yes	
row_15	JUNB	168	22.26390838623047	0.24361669	Yes	
row_16	TNC	196	21.597583770751953	0.25594518	Yes	
row_17	NFKB2	200	21.511606216430664	0.2697674	Yes	
row_18	FOSL2	227	20.853349685668945	0.28167555	Yes	
row_19	SERPINB8	253	20.336990356445312	0.29331183	Yes	
row_20	GADD45A	267	20.071243286132812	0.30554986	Yes	
row_21	TUBB2A	321	19.073780059814453	0.31455502	Yes	
row_22	TNFAIP3	344	18.597192764282227	0.32525146	Yes	
row_23	PLAUR	349	18.531143188476562	0.3370672	Yes	
row_24	DUSP5	351	18.508264541625977	0.34906176	Yes	
row_25	TNFAIP2	356	18.489669799804688	0.36085048	Yes	
row_26	SPHK1	362	18.311002731323242	0.3724582	Yes	
row_27	ATF3	384	18.05704689025879	0.38286728	Yes	
row_28	KLF4	388	18.016746520996094	0.39441243	Yes	
row_29	SLC16A6	395	17.973663330078125	0.4057358	Yes	
row_30	PLPP3	401	17.9003963470459	0.417076	Yes	
row_31	CD44	407	17.781009674072266	0.4283384	Yes	
row_32	IER5	410	17.729766845703125	0.43976116	Yes	
row_33	IFIH1	454	17.08776092529297	0.44811806	Yes	
row_34	CSF1	478	16.831085205078125	0.4575992	Yes	
row_35	FOS	489	16.674394607543945	0.46781772	Yes	
row_36	IL1B	506	16.472997665405273	0.47751758	Yes	
row_37	NAMPT	549	15.992178916931152	0.48522523	Yes	
row_38	IL6ST	605	15.372897148132324	0.4916899	Yes	
row_39	PTX3	618	15.220566749572754	0.500832	Yes	
row_40	HBEGF	702	14.419657707214355	0.50486755	Yes	
row_41	ZC3H12A	728	14.184761047363281	0.5124953	Yes	
row_42	FOSB	768	13.917671203613281	0.519045	Yes	
row_43	NFKBIE	777	13.872824668884277	0.5275673	Yes	
row_44	SPSB1	797	13.747204780578613	0.53529745	Yes	
row_45	TIPARP	806	13.697099685668945	0.5437052	Yes	
row_46	NFKBIA	815	13.568731307983398	0.55202943	Yes	
row_47	CXCL2	846	13.392266273498535	0.5588179	Yes	
row_48	CXCL3	849	13.372916221618652	0.567402	Yes	
row_49	EGR1	851	13.360271453857422	0.57604235	Yes	
row_50	RCAN1	949	12.672271728515625	0.5780353	Yes	
row_51	CCL2	997	12.286125183105469	0.58300537	Yes	
row_52	PTPRE	1019	12.12689208984375	0.5895506	Yes	
row_53	SOCS3	1072	11.801900863647461	0.5938823	Yes	
row_54	NFIL3	1095	11.676247596740723	0.6000694	Yes	
row_55	LITAF	1098	11.668341636657715	0.6075428	Yes	
row_56	IL1A	1117	11.509737014770508	0.6138797	Yes	
row_57	DUSP4	1128	11.432075500488281	0.62068254	Yes	
row_58	TRIB1	1135	11.400208473205566	0.6277229	Yes	
row_59	MXD1	1276	10.609896659851074	0.62559545	Yes	
row_60	GADD45B	1351	10.14453411102295	0.6274266	Yes	
row_61	IL6	1521	9.412064552307129	0.62264603	Yes	
row_62	SGK1	1601	9.038966178894043	0.623434	Yes	
row_63	TNFAIP6	1624	8.94626235961914	0.62784237	Yes	
row_64	DNAJB4	1785	8.282233238220215	0.62290674	Yes	
row_65	CEBPB	1854	8.040571212768555	0.62375456	Yes	
row_66	NR4A3	1865	8.005319595336914	0.6283247	Yes	
row_67	RNF19B	1898	7.9231462478637695	0.6314207	Yes	
row_68	TGIF1	1938	7.777088165283203	0.6339695	Yes	
row_69	CXCL11	1969	7.675240993499756	0.6370331	Yes	
row_70	CEBPD	2019	7.445013999938965	0.63871974	Yes	
row_71	CCL20	2050	7.354153156280518	0.64157414	Yes	
row_72	SLC2A3	2061	7.32265043258667	0.6456995	Yes	
row_73	CD83	2100	7.193299293518066	0.64793247	Yes	
row_74	IER2	2158	7.036262035369873	0.64883626	Yes	
row_75	IFIT2	2161	7.012346267700195	0.653276	Yes	
row_76	BTG2	2253	6.75294828414917	0.6517997	Yes	
row_77	ICOSLG	2296	6.624873161315918	0.653404	Yes	
row_78	FOSL1	2368	6.391164302825928	0.6529834	Yes	
row_79	MAP3K8	2394	6.313725471496582	0.65548277	Yes	
row_80	KLF6	2626	5.713435649871826	0.64428866	No	
row_81	MAFF	2800	5.356889247894287	0.6366076	No	
row_82	REL	2845	5.236292362213135	0.63717806	No	
row_83	ABCA1	3154	4.569081783294678	0.62026614	No	
row_84	EFNA1	3222	4.427535057067871	0.6188244	No	
row_85	TANK	3529	3.8326969146728516	0.60156184	No	
row_86	IL23A	3662	3.6167984008789062	0.59539455	No	
row_87	NINJ1	3670	3.60129976272583	0.59728897	No	
