NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDGFRA	21	29.580904006958008	0.04173773	Yes	
row_1	MCAM	42	27.60426139831543	0.08066058	Yes	
row_2	ITGA2	87	24.78468132019043	0.11393489	Yes	
row_3	CD68	104	24.29192543029785	0.14829002	Yes	
row_4	CCN3	129	23.32740592956543	0.1807264	Yes	
row_5	STAT1	143	22.847816467285156	0.2131708	Yes	
row_6	TLR4	151	22.578929901123047	0.24560894	Yes	
row_7	CD47	161	22.45234489440918	0.27773425	Yes	
row_8	ITGB3	166	22.32256317138672	0.30999166	Yes	
row_9	HEXB	186	21.818241119384766	0.34055102	Yes	
row_10	NFKB2	200	21.511606216430664	0.3710491	Yes	
row_11	EGFR	225	20.941823959350586	0.40001073	Yes	
row_12	ITGAV	244	20.526121139526367	0.42875224	Yes	
row_13	SOX9	328	18.985654830932617	0.45107472	Yes	
row_14	CD44	407	17.781009674072266	0.47196373	Yes	
row_15	IL1B	506	16.472997665405273	0.48966283	Yes	
row_16	TYK2	755	14.016300201416016	0.49414843	Yes	
row_17	TNFRSF1B	836	13.458540916442871	0.508613	Yes	
row_18	SOCS3	1072	11.801900863647461	0.5107082	Yes	
row_19	CXCL12	1181	11.160329818725586	0.5200267	Yes	
row_20	CSPG4	1293	10.53576946258545	0.52824277	Yes	
row_21	IL2RG	1369	10.044746398925781	0.5380561	Yes	
row_22	NKX2-2	1392	9.931742668151855	0.5511092	Yes	
row_23	IL6	1521	9.412064552307129	0.5565965	Yes	
row_24	TGFB1	1589	9.090413093566895	0.56553364	Yes	
row_25	JAK3	1593	9.07125186920166	0.57855386	Yes	
row_26	TGFBR2	1642	8.846446990966797	0.5883561	Yes	
row_27	SIRPA	1724	8.502695083618164	0.5955379	Yes	
row_28	IL10RB	1818	8.161420822143555	0.60145175	Yes	
row_29	CCL20	2050	7.354153156280518	0.59732544	Yes	
row_30	TMEM119	2055	7.334105491638184	0.6077512	Yes	
row_31	SSTR2	2125	7.106570720672607	0.61367023	Yes	
row_32	APOD	2454	6.163174152374268	0.6015785	No	
row_33	PDGFA	2735	5.49582576751709	0.5915979	No	
row_34	EBI3	3204	4.46855354309082	0.56804496	No	
row_35	JAK1	4577	2.345771312713623	0.48333228	No	
row_36	VEGFA	4622	2.2902750968933105	0.4838419	No	
row_37	MYD88	4966	1.9073611497879028	0.46458775	No	
row_38	IL12A	5932	1.0621193647384644	0.40414867	No	
row_39	OLIG2	6249	0.8350011110305786	0.38506684	No	
row_40	NFKB1	6288	0.8063364624977112	0.38380042	No	
row_41	CNP	7597	0.12642309069633484	0.29996607	No	
row_42	TGFBR1	8129	-0.0440688394010067	0.26592183	No	
row_43	FOXP3	8402	-0.13914422690868378	0.24865277	No	
row_44	IGF1	9083	-0.4431290328502655	0.20561887	No	
row_45	OLIG1	9589	-0.7713965177536011	0.17430413	No	
row_46	MAPK14	9918	-1.0429396629333496	0.15475439	No	
row_47	FOXO1	10111	-1.2390599250793457	0.14422616	No	
row_48	TGFBR3	10878	-2.1534743309020996	0.09815936	No	
row_49	FAM20C	11182	-2.656203269958496	0.0825653	No	
row_50	MBP	12577	-5.776655673980713	0.0014367478	No	
row_51	IKZF2	12853	-6.497341632843018	-0.006763861	No	
row_52	KLRG1	12983	-6.916297435760498	-0.004976019	No	
row_53	STAT5B	13517	-8.61699390411377	-0.026661662	No	
row_54	CDC42	14075	-10.789050102233887	-0.04672518	No	
row_55	NOS2	14232	-11.462821006774902	-0.040049337	No	
row_56	IGF1R	14261	-11.612812042236328	-0.024933023	No	
row_57	SMAD2	14314	-11.788248062133789	-0.011102802	No	
row_58	FOXO4	14362	-12.065943717956543	0.0034530736	No	
row_59	STAT3	14721	-13.989734649658203	8.342087E-4	No	
row_60	SPP1	15270	-18.172880172729492	-0.007896135	No	
row_61	RAC1	15476	-21.208723068237305	0.009827814	No	
