NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-B	4	32.854759216308594	0.04297927	Yes	
row_1	ICAM1	16	30.689762115478516	0.08265978	Yes	
row_2	OAS3	47	27.196956634521484	0.116523296	Yes	
row_3	OAS2	59	26.06110191345215	0.15011257	Yes	
row_4	HLA-C	99	24.423049926757812	0.17974754	Yes	
row_5	IRF1	110	23.98101043701172	0.21066369	Yes	
row_6	VCAM1	132	23.256563186645508	0.23991987	Yes	
row_7	GBP4	150	22.585081100463867	0.26854935	Yes	
row_8	MID1	191	21.78044319152832	0.29464245	Yes	
row_9	GBP1	205	21.45124626159668	0.32203677	Yes	
row_10	B2M	219	21.057764053344727	0.34891328	Yes	
row_11	CAMK2D	234	20.7485408782959	0.37531862	Yes	
row_12	IFI30	269	20.020923614501953	0.39948165	Yes	
row_13	OASL	284	19.76382064819336	0.42459112	Yes	
row_14	OAS1	317	19.116683959960938	0.44769266	Yes	
row_15	SP100	320	19.107114791870117	0.4727088	Yes	
row_16	GBP3	337	18.73415756225586	0.49633476	Yes	
row_17	GBP5	386	18.023157119750977	0.51696944	Yes	
row_18	CD44	407	17.781009674072266	0.53908414	Yes	
row_19	GBP2	422	17.571523666381836	0.56130856	Yes	
row_20	NCAM1	469	16.93149185180664	0.58063513	Yes	
row_21	TRIM38	681	14.610713005065918	0.58630824	Yes	
row_22	TRIM22	778	13.867480278015137	0.59839064	Yes	
row_23	HLA-A	895	13.067313194274902	0.60813534	Yes	
row_24	PML	907	12.99449634552002	0.6245292	Yes	
row_25	SOCS3	1072	11.801900863647461	0.6295252	Yes	
row_26	TRIM62	1106	11.60305404663086	0.6426747	Yes	
row_27	CIITA	1512	9.437932968139648	0.62907827	Yes	
row_28	CAMK2B	1648	8.812965393066406	0.6320038	Yes	
row_29	TRIM45	1689	8.624204635620117	0.6407835	Yes	
row_30	IRF3	1889	7.944934368133545	0.63845545	Yes	
row_31	TRIM5	1918	7.852395534515381	0.64699036	Yes	
row_32	TRIM35	2052	7.33646821975708	0.6481013	Yes	
row_33	TRIM8	2072	7.276985168457031	0.6564571	Yes	
row_34	IRF7	2570	5.863257884979248	0.63224655	No	
row_35	JAK2	2613	5.757401943206787	0.6371252	No	
row_36	IFNGR1	2772	5.4277215003967285	0.63411826	No	
row_37	TRIM25	2975	4.921148777008057	0.62761825	No	
row_38	TRIM46	3086	4.678556442260742	0.6267089	No	
row_39	IRF6	3318	4.200009346008301	0.61739695	No	
row_40	TRIM21	3547	3.8110547065734863	0.60776585	No	
row_41	TRIM14	3911	3.2327935695648193	0.5887016	No	
row_42	IRF5	3939	3.1984193325042725	0.5911762	No	
row_43	SMAD7	4009	3.1060264110565186	0.5908312	No	
row_44	TRIM2	4258	2.742277145385742	0.57850885	No	
row_45	JAK1	4577	2.345771312713623	0.561168	No	
row_46	IRF2	4866	2.029567003250122	0.5453382	No	
row_47	TRIM68	5403	1.4937551021575928	0.51287216	No	
row_48	SOCS1	5601	1.320162296295166	0.5019545	No	
row_49	IFNGR2	7397	0.20666424930095673	0.38691843	No	
row_50	TRIM26	7989	-0.001955528976395726	0.34895608	No	
row_51	CAMK2G	10347	-1.4875338077545166	0.19950362	No	
row_52	PRKCD	11266	-2.7762527465820312	0.14418621	No	
row_53	PTPN1	11299	-2.8490262031555176	0.14587983	No	
row_54	TRIM3	12115	-4.6295671463012695	0.09961792	No	
row_55	MAPK1	12642	-5.937657356262207	0.073642336	No	
row_56	PIAS1	12779	-6.321141242980957	0.0732244	No	
row_57	MT2A	13913	-10.114699363708496	0.01375298	No	
row_58	MAPK3	14028	-10.563968658447266	0.020331774	No	
row_59	PTPN11	14256	-11.596185684204102	0.021009998	No	
row_60	SUMO1	14753	-14.211886405944824	0.007850291	No	
row_61	RAF1	14914	-15.303703308105469	0.017711515	No	
row_62	YBX1	15485	-21.394412994384766	0.009250227	No	
