NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ICAM1	16	30.689762115478516	0.111608274	Yes	
row_1	CXCL8	53	26.440793991088867	0.20634127	Yes	
row_2	TIMP1	94	24.535001754760742	0.2938236	Yes	
row_3	LIF	142	22.851469039916992	0.37467885	Yes	
row_4	CSF1	478	16.831085205078125	0.41498798	Yes	
row_5	IL1B	506	16.472997665405273	0.47371513	Yes	
row_6	TYK2	755	14.016300201416016	0.50926757	Yes	
row_7	TNFRSF1B	836	13.458540916442871	0.553536	Yes	
row_8	IL1R1	837	13.45680046081543	0.6029233	Yes	
row_9	CXCL2	846	13.392266273498535	0.6515612	Yes	
row_10	CCL2	997	12.286125183105469	0.6870422	Yes	
row_11	IL1A	1117	11.509737014770508	0.72165984	Yes	
row_12	CXCL10	1284	10.574292182922363	0.7498332	Yes	
row_13	IL6	1521	9.412064552307129	0.76925665	Yes	
row_14	IL10RB	1818	8.161420822143555	0.78024614	Yes	
row_15	CCL20	2050	7.354153156280518	0.7924372	Yes	
row_16	JAK1	4577	2.345771312713623	0.6392166	No	
row_17	IL12A	5932	1.0621193647384644	0.55636984	No	
row_18	PTGS2	8968	-0.3774762749671936	0.3633161	No	
row_19	TNFRSF1A	11522	-3.257058620452881	0.21171021	No	
row_20	STAT3	14721	-13.989734649658203	0.05817161	No	
