NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BST2	14	31.238174438476562	0.058263585	Yes	
row_1	MX1	35	28.433385848999023	0.11083038	Yes	
row_2	OAS3	47	27.196956634521484	0.16163278	Yes	
row_3	OAS2	59	26.06110191345215	0.21028401	Yes	
row_4	IFITM1	81	24.966520309448242	0.25622082	Yes	
row_5	PROX1	89	24.665742874145508	0.30248594	Yes	
row_6	IFIT1	183	21.870765686035156	0.3379417	Yes	
row_7	IFI16	280	19.8448486328125	0.36936817	Yes	
row_8	OASL	284	19.76382064819336	0.4066062	Yes	
row_9	OAS1	317	19.116683959960938	0.44075853	Yes	
row_10	APOBEC3B	322	19.054452896118164	0.47658893	Yes	
row_11	ZNFX1	323	19.053651809692383	0.5126744	Yes	
row_12	ISG15	346	18.559532165527344	0.54641294	Yes	
row_13	FAM111A	357	18.443906784057617	0.58070225	Yes	
row_14	IFIH1	454	17.08776092529297	0.60690707	Yes	
row_15	IFITM3	508	16.454730987548828	0.6346711	Yes	
row_16	PLSCR1	609	15.330426216125488	0.6572912	Yes	
row_17	RSAD2	812	13.63322925567627	0.6701548	Yes	
row_18	SHFL	1083	11.7337646484375	0.6750595	Yes	
row_19	ZC3HAV1	1323	10.328264236450195	0.6792907	Yes	
row_20	MAVS	1376	10.014129638671875	0.6949211	Yes	
row_21	HMGA2	1442	9.706061363220215	0.70913416	Yes	
row_22	N4BP1	1753	8.375616073608398	0.70511335	Yes	
row_23	APOBEC3G	1928	7.814852714538574	0.7087535	Yes	
row_24	IFITM2	2098	7.19788122177124	0.7115459	Yes	
row_25	EIF2AK2	2376	6.353440761566162	0.7058119	Yes	
row_26	SLPI	2447	6.186662673950195	0.713039	Yes	
row_27	IFIT5	4037	3.0674917697906494	0.6169307	No	
row_28	ISG20	4461	2.485196828842163	0.5945064	No	
row_29	APOBEC3D	4666	2.226499557495117	0.58563864	No	
row_30	TNIP1	5032	1.8412809371948242	0.56571484	No	
row_31	APOBEC3F	5406	1.489417552947998	0.5446116	No	
row_32	RNASEL	7208	0.29712551832199097	0.42965895	No	
row_33	SRPK2	8272	-0.08986062556505203	0.36164877	No	
row_34	INPP5K	8449	-0.15674513578414917	0.35065708	No	
row_35	APOBEC3C	12959	-6.833071231842041	0.07439281	No	
row_36	SRPK1	14447	-12.459183692932129	0.0026135503	No	
row_37	BANF1	14668	-13.653623580932617	0.014361251	No	
row_38	ILF3	15583	-24.928970336914062	0.002950314	No	
