NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSPT2	1552	9.296483993530273	-0.09353048	No	
row_1	SMG1	3029	4.804831027984619	-0.18527026	No	
row_2	RPL36A	5410	1.485113501548767	-0.33752534	No	
row_3	SMG5	5808	1.1626142263412476	-0.36229026	No	
row_4	RBM8A	6966	0.4232826828956604	-0.43651313	No	
row_5	UPF3B	7131	0.3280499577522278	-0.44684866	No	
row_6	UPF2	9588	-0.7703973650932312	-0.60449237	No	
row_7	UPF3A	10140	-1.2681193351745605	-0.6391026	No	
row_8	RPS27L	10417	-1.5708860158920288	-0.6557925	No	
row_9	SMG6	10692	-1.8890801668167114	-0.6721337	No	
row_10	SMG7	11421	-3.0610387325286865	-0.7169044	No	
row_11	RPL36AL	12207	-4.850736141204834	-0.7641093	No	
row_12	RPS20	12305	-5.078042030334473	-0.7668473	No	
row_13	NCBP1	12714	-6.137185096740723	-0.7888829	No	
row_14	MAGOHB	12867	-6.536457538604736	-0.79415524	No	
row_15	RPS9	13070	-7.184749126434326	-0.8021997	No	
row_16	ETF1	13292	-7.862780570983887	-0.81099933	No	
row_17	MAGOH	13382	-8.133644104003906	-0.8111105	Yes	
row_18	RPLP1	13394	-8.17821216583252	-0.8061673	Yes	
row_19	RPL17	13395	-8.185698509216309	-0.80051047	Yes	
row_20	SMG8	13452	-8.370477676391602	-0.7983326	Yes	
row_21	SMG9	13661	-9.14389419555664	-0.8054096	Yes	
row_22	PPP2R2A	13690	-9.270598411560059	-0.8008064	Yes	
row_23	RPS10	13697	-9.30688190460205	-0.7947612	Yes	
row_24	RPL22	13825	-9.764169692993164	-0.7961929	Yes	
row_25	PNRC2	13876	-9.968018531799316	-0.7925246	Yes	
row_26	RPL28	13924	-10.17216968536377	-0.78852195	Yes	
row_27	PPP2R1A	13955	-10.300814628601074	-0.7833356	Yes	
row_28	UBA52	14000	-10.461018562316895	-0.7789402	Yes	
row_29	PPP2CA	14071	-10.773292541503906	-0.7760035	Yes	
row_30	RPS27	14072	-10.775486946105957	-0.76855695	Yes	
row_31	RPS23	14079	-10.794565200805664	-0.76148367	Yes	
row_32	NCBP2	14111	-10.921649932861328	-0.7559327	Yes	
row_33	FAU	14130	-10.978684425354004	-0.74950504	Yes	
row_34	RPS29	14153	-11.09335994720459	-0.74325573	Yes	
row_35	RPS26	14175	-11.19080924987793	-0.7368747	Yes	
row_36	DCP1A	14238	-11.502643585205078	-0.73291874	Yes	
row_37	RPL39	14315	-11.796008110046387	-0.7296617	Yes	
row_38	RPL34	14379	-12.127610206604004	-0.7253382	Yes	
row_39	CASC3	14464	-12.520830154418945	-0.7220955	Yes	
row_40	RPL30	14531	-12.808835983276367	-0.7174945	Yes	
row_41	RPL41	14670	-13.657282829284668	-0.7169442	Yes	
row_42	RPS28	14685	-13.80173397064209	-0.70830804	Yes	
row_43	RPS12	14691	-13.869492530822754	-0.6990454	Yes	
row_44	RPL7	14752	-14.197656631469727	-0.6930982	Yes	
row_45	RPS16	14762	-14.259075164794922	-0.683824	Yes	
row_46	RPS13	14767	-14.274654388427734	-0.6742169	Yes	
row_47	RPL29	14816	-14.609992027282715	-0.66721195	Yes	
row_48	RPL31	14818	-14.636414527893066	-0.6571617	Yes	
row_49	RPL37	14867	-14.90073013305664	-0.6499558	Yes	
row_50	RPS5	14900	-15.172036170959473	-0.64153194	Yes	
row_51	RPL15	14943	-15.508159637451172	-0.6335198	Yes	
row_52	RPS14	14956	-15.572731018066406	-0.623531	Yes	
row_53	RNPS1	14974	-15.68828010559082	-0.6137843	Yes	
row_54	UPF1	15003	-15.91305160522461	-0.6045907	Yes	
row_55	RPS21	15028	-16.10309410095215	-0.59500825	Yes	
row_56	RPS27A	15057	-16.317636489868164	-0.58553505	Yes	
row_57	RPL24	15076	-16.53788948059082	-0.57526565	Yes	
row_58	PABPC1	15104	-16.715078353881836	-0.56545347	Yes	
row_59	RPS6	15146	-17.044361114501953	-0.5563153	Yes	
row_60	RPS4X	15152	-17.084789276123047	-0.54483074	Yes	
row_61	RPL3	15183	-17.32544708251953	-0.5347899	Yes	
row_62	RPL10	15188	-17.35258674621582	-0.52305585	Yes	
row_63	RPS15A	15192	-17.387842178344727	-0.51123303	Yes	
row_64	RPL13A	15193	-17.406801223754883	-0.49920386	Yes	
row_65	RPS11	15211	-17.56793785095215	-0.48815823	Yes	
row_66	RPL37A	15232	-17.712499618530273	-0.4772059	Yes	
row_67	RPL27A	15275	-18.212257385253906	-0.46732512	Yes	
row_68	RPS3	15279	-18.248554229736328	-0.45490748	Yes	
row_69	RPL13	15287	-18.36396026611328	-0.4426677	Yes	
