NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36A	5410	1.485113501548767	-0.34667143	No	
row_1	RPS27L	10417	-1.5708860158920288	-0.6672966	No	
row_2	RPL36AL	12207	-4.850736141204834	-0.7784308	No	
row_3	RPS20	12305	-5.078042030334473	-0.78058606	No	
row_4	RPS9	13070	-7.184749126434326	-0.8239363	No	
row_5	RPLP1	13394	-8.17821216583252	-0.83813137	No	
row_6	RPL17	13395	-8.185698509216309	-0.8315515	No	
row_7	RPS10	13697	-9.30688190460205	-0.84342474	No	
row_8	RPL22	13825	-9.764169692993164	-0.84374213	Yes	
row_9	RPL28	13924	-10.17216968536377	-0.8418669	Yes	
row_10	EEF1A1	13998	-10.452401161193848	-0.83815885	Yes	
row_11	UBA52	14000	-10.461018562316895	-0.82981426	Yes	
row_12	RPS27	14072	-10.775486946105957	-0.8257179	Yes	
row_13	RPS23	14079	-10.794565200805664	-0.81742674	Yes	
row_14	FAU	14130	-10.978684425354004	-0.81181675	Yes	
row_15	RPS29	14153	-11.09335994720459	-0.80431414	Yes	
row_16	RPS26	14175	-11.19080924987793	-0.79666895	Yes	
row_17	RPL39	14315	-11.796008110046387	-0.7961247	Yes	
row_18	RPL34	14379	-12.127610206604004	-0.7904271	Yes	
row_19	RPL30	14531	-12.808835983276367	-0.78984034	Yes	
row_20	RPL41	14670	-13.657282829284668	-0.78773564	Yes	
row_21	RPS28	14685	-13.80173397064209	-0.7775416	Yes	
row_22	RPS12	14691	-13.869492530822754	-0.76671433	Yes	
row_23	RPL7	14752	-14.197656631469727	-0.75915986	Yes	
row_24	RPS16	14762	-14.259075164794922	-0.74827665	Yes	
row_25	RPS13	14767	-14.274654388427734	-0.7370595	Yes	
row_26	RPL29	14816	-14.609992027282715	-0.7284019	Yes	
row_27	RPL31	14818	-14.636414527893066	-0.71670103	Yes	
row_28	RPL37	14867	-14.90073013305664	-0.70780975	Yes	
row_29	RPS5	14900	-15.172036170959473	-0.69767165	Yes	
row_30	RPL15	14943	-15.508159637451172	-0.6879063	Yes	
row_31	RPS14	14956	-15.572731018066406	-0.6761601	Yes	
row_32	RPS21	15028	-16.10309410095215	-0.66778123	Yes	
row_33	RPS27A	15057	-16.317636489868164	-0.65646505	Yes	
row_34	RPL24	15076	-16.53788948059082	-0.6443288	Yes	
row_35	RPS6	15146	-17.044361114501953	-0.6350647	Yes	
row_36	RPS4X	15152	-17.084789276123047	-0.62165296	Yes	
row_37	RPL3	15183	-17.32544708251953	-0.6096552	Yes	
row_38	RPL10	15188	-17.35258674621582	-0.5959639	Yes	
row_39	RPS15A	15192	-17.387842178344727	-0.5821799	Yes	
row_40	RPL13A	15193	-17.406801223754883	-0.5681878	Yes	
row_41	RPS11	15211	-17.56793785095215	-0.5551592	Yes	
row_42	RPL37A	15232	-17.712499618530273	-0.54220736	Yes	
row_43	RPL27A	15275	-18.212257385253906	-0.53026843	Yes	
row_44	RPS3	15279	-18.248554229736328	-0.51579255	Yes	
row_45	RPL13	15287	-18.36396026611328	-0.5014812	Yes	
row_46	RPS19	15292	-18.405473709106445	-0.48694345	Yes	
row_47	RPL21	15294	-18.423128128051758	-0.4721987	Yes	
row_48	RPLP0	15318	-18.677471160888672	-0.45866406	Yes	
row_49	RPL26L1	15321	-18.689010620117188	-0.44376987	Yes	
row_50	RPL26	15328	-18.7589054107666	-0.42907667	Yes	
row_51	RPLP2	15337	-18.934492111206055	-0.41437095	Yes	
row_52	RPL11	15339	-18.964879989624023	-0.3991907	Yes	
row_53	RPS7	15358	-19.289165496826172	-0.38484287	Yes	
row_54	RPL38	15360	-19.294116973876953	-0.36939797	Yes	
row_55	RPL22L1	15362	-19.309921264648438	-0.35394034	Yes	
row_56	RPL18	15365	-19.356298446655273	-0.33850977	Yes	
row_57	RPS24	15368	-19.400415420532227	-0.3230437	Yes	
row_58	RPL23	15374	-19.438520431518555	-0.3077399	Yes	
row_59	RPL5	15391	-19.7288875579834	-0.29291004	Yes	
row_60	RPL27	15400	-19.851301193237305	-0.27746737	Yes	
row_61	RPS15	15407	-19.988595962524414	-0.26178572	Yes	
row_62	RPL12	15414	-20.09238052368164	-0.24602063	Yes	
row_63	RPL18A	15417	-20.1359920501709	-0.2299633	Yes	
row_64	RPL6	15444	-20.576908111572266	-0.21509476	Yes	
row_65	RPL32	15450	-20.710521697998047	-0.1987685	Yes	
row_66	RPL8	15452	-20.733230590820312	-0.18216679	Yes	
row_67	RPL35A	15461	-20.88759994506836	-0.1658911	Yes	
row_68	RPL35	15473	-21.149518966674805	-0.14959776	Yes	
row_69	RPL14	15482	-21.350923538208008	-0.13294964	Yes	
row_70	RPL36	15489	-21.452402114868164	-0.11609133	Yes	
row_71	RPL19	15492	-21.474063873291016	-0.09895842	Yes	
row_72	RPS8	15493	-21.475784301757812	-0.08169552	Yes	
row_73	RPL23A	15508	-21.695690155029297	-0.06515606	Yes	
row_74	RPSA	15525	-22.25623321533203	-0.04829461	Yes	
row_75	EEF2	15531	-22.457687377929688	-0.030563932	Yes	
row_76	RPL10A	15532	-22.537046432495117	-0.012447956	Yes	
row_77	RPL4	15544	-23.165205001831055	0.005465647	Yes	
