NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36A	5410	1.485113501548767	-0.34648412	No	
row_1	VARS1	10443	-1.599315881729126	-0.6685729	No	
row_2	RPS20	12305	-5.078042030334473	-0.78385735	No	
row_3	RPS9	13070	-7.184749126434326	-0.8268264	No	
row_4	RPLP1	13394	-8.17821216583252	-0.84059894	No	
row_5	RPL17	13395	-8.185698509216309	-0.8336027	No	
row_6	RPS10	13697	-9.30688190460205	-0.84499645	Yes	
row_7	RPL22	13825	-9.764169692993164	-0.84481466	Yes	
row_8	RPL28	13924	-10.17216968536377	-0.84242004	Yes	
row_9	UBA52	14000	-10.461018562316895	-0.8383001	Yes	
row_10	RPS27	14072	-10.775486946105957	-0.83365434	Yes	
row_11	RPS23	14079	-10.794565200805664	-0.824814	Yes	
row_12	FAU	14130	-10.978684425354004	-0.8186447	Yes	
row_13	RPS29	14153	-11.09335994720459	-0.8105775	Yes	
row_14	RPS26	14175	-11.19080924987793	-0.80236274	Yes	
row_15	RPL39	14315	-11.796008110046387	-0.8012157	Yes	
row_16	RPL34	14379	-12.127610206604004	-0.79490006	Yes	
row_17	RPL30	14531	-12.808835983276367	-0.79365873	Yes	
row_18	RPL41	14670	-13.657282829284668	-0.79085666	Yes	
row_19	RPS28	14685	-13.80173397064209	-0.7799604	Yes	
row_20	RPS12	14691	-13.869492530822754	-0.7684277	Yes	
row_21	RPL7	14752	-14.197656631469727	-0.76014996	Yes	
row_22	RPS16	14762	-14.259075164794922	-0.7485414	Yes	
row_23	RPS13	14767	-14.274654388427734	-0.7365982	Yes	
row_24	RPL29	14816	-14.609992027282715	-0.72719663	Yes	
row_25	RPL31	14818	-14.636414527893066	-0.71475136	Yes	
row_26	RPL37	14867	-14.90073013305664	-0.7051013	Yes	
row_27	RPS5	14900	-15.172036170959473	-0.6941909	Yes	
row_28	RPL15	14943	-15.508159637451172	-0.68363607	Yes	
row_29	RPS14	14956	-15.572731018066406	-0.67109764	Yes	
row_30	RPS21	15028	-16.10309410095215	-0.6618984	Yes	
row_31	RPL24	15076	-16.53788948059082	-0.6507848	Yes	
row_32	RPS6	15146	-17.044361114501953	-0.64065254	Yes	
row_33	RPS4X	15152	-17.084789276123047	-0.62637174	Yes	
row_34	RPL3	15183	-17.32544708251953	-0.6134923	Yes	
row_35	RPL10	15188	-17.35258674621582	-0.59891844	Yes	
row_36	RPS15A	15192	-17.387842178344727	-0.5842501	Yes	
row_37	RPL13A	15193	-17.406801223754883	-0.5693727	Yes	
row_38	RPS11	15211	-17.56793785095215	-0.5554504	Yes	
row_39	RPL37A	15232	-17.712499618530273	-0.54159737	Yes	
row_40	RACK1	15256	-18.025150299072266	-0.5276699	Yes	
row_41	RPL27A	15275	-18.212257385253906	-0.5132612	Yes	
row_42	RPS3	15279	-18.248554229736328	-0.4978572	Yes	
row_43	RPL13	15287	-18.36396026611328	-0.48261172	Yes	
row_44	RPS19	15292	-18.405473709106445	-0.46713793	Yes	
row_45	RPL21	15294	-18.423128128051758	-0.45145622	Yes	
row_46	RPLP0	15318	-18.677471160888672	-0.43697125	Yes	
row_47	RPL26	15328	-18.7589054107666	-0.42151678	Yes	
row_48	RPLP2	15337	-18.934492111206055	-0.40584794	Yes	
row_49	RPL11	15339	-18.964879989624023	-0.38970318	Yes	
row_50	RPS7	15358	-19.289165496826172	-0.37437403	Yes	
row_51	RPL38	15360	-19.294116973876953	-0.3579479	Yes	
row_52	RPL18	15365	-19.356298446655273	-0.34166142	Yes	
row_53	RPS24	15368	-19.400415420532227	-0.3252087	Yes	
row_54	RPL23	15374	-19.438520431518555	-0.30891624	Yes	
row_55	RPL5	15391	-19.7288875579834	-0.2930827	Yes	
row_56	RPL27	15400	-19.851301193237305	-0.27663028	Yes	
row_57	RPS15	15407	-19.988595962524414	-0.25993198	Yes	
row_58	RPL12	15414	-20.09238052368164	-0.24314496	Yes	
row_59	RPL18A	15417	-20.1359920501709	-0.22606355	Yes	
row_60	RPL6	15444	-20.576908111572266	-0.210148	Yes	
row_61	RPL32	15450	-20.710521697998047	-0.1927684	Yes	
row_62	RPL8	15452	-20.733230590820312	-0.17511226	Yes	
row_63	RPL35A	15461	-20.88759994506836	-0.15777414	Yes	
row_64	RPL35	15473	-21.149518966674805	-0.140405	Yes	
row_65	RPL14	15482	-21.350923538208008	-0.12267088	Yes	
row_66	RPL36	15489	-21.452402114868164	-0.10472147	Yes	
row_67	RPL19	15492	-21.474063873291016	-0.08649643	Yes	
row_68	RPS8	15493	-21.475784301757812	-0.068141356	Yes	
row_69	RPL23A	15508	-21.695690155029297	-0.05049825	Yes	
row_70	RPSA	15525	-22.25623321533203	-0.032504614	Yes	
row_71	RPL10A	15532	-22.537046432495117	-0.013628172	Yes	
row_72	RPL4	15544	-23.165205001831055	0.005463749	Yes	
