NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZSWIM8	1093	11.690733909606934	-0.06421456	No	
row_1	ROBO2	1094	11.679519653320312	-0.057882655	No	
row_2	GSPT2	1552	9.296483993530273	-0.08234178	No	
row_3	COL4A5	3475	3.9403278827667236	-0.20426962	No	
row_4	LHX2	4118	2.9534430503845215	-0.24410918	No	
row_5	RPL36A	5410	1.485113501548767	-0.3266374	No	
row_6	RBM8A	6966	0.4232826828956604	-0.42678228	No	
row_7	UPF3B	7131	0.3280499577522278	-0.43719053	No	
row_8	UBC	7679	0.0922686755657196	-0.47244906	No	
row_9	SEM1	9153	-0.48203280568122864	-0.5672691	No	
row_10	USP33	9533	-0.7300692200660706	-0.5913375	No	
row_11	UPF2	9588	-0.7703973650932312	-0.59440553	No	
row_12	ELOC	9650	-0.8313649296760559	-0.59789234	No	
row_13	UPF3A	10140	-1.2681193351745605	-0.6287695	No	
row_14	RPS27L	10417	-1.5708860158920288	-0.64573354	No	
row_15	RBX1	10669	-1.8620390892028809	-0.6609259	No	
row_16	UBB	10973	-2.3136305809020996	-0.67923015	No	
row_17	DAG1	11183	-2.6563687324523926	-0.69128084	No	
row_18	MSI1	11326	-2.911083221435547	-0.69886863	No	
row_19	LDB1	11918	-4.180124759674072	-0.73475116	No	
row_20	RPL36AL	12207	-4.850736141204834	-0.7507117	No	
row_21	RPS20	12305	-5.078042030334473	-0.75421995	No	
row_22	CUL2	12683	-6.02604341506958	-0.77528816	No	
row_23	NCBP1	12714	-6.137185096740723	-0.7738974	No	
row_24	MAGOHB	12867	-6.536457538604736	-0.7801653	No	
row_25	LHX3	12868	-6.537021636962891	-0.77662134	No	
row_26	ELOB	12947	-6.787483215332031	-0.77797645	No	
row_27	RPS9	13070	-7.184749126434326	-0.7819564	No	
row_28	PSMD8	13158	-7.473655700683594	-0.7835204	No	
row_29	ETF1	13292	-7.862780570983887	-0.78784275	Yes	
row_30	ROBO1	13306	-7.891963005065918	-0.7844034	Yes	
row_31	MAGOH	13382	-8.133644104003906	-0.78483504	Yes	
row_32	RPLP1	13394	-8.17821216583252	-0.78111136	Yes	
row_33	RPL17	13395	-8.185698509216309	-0.7766736	Yes	
row_34	PSMC6	13491	-8.53255844116211	-0.77818	Yes	
row_35	PSMA5	13492	-8.533306121826172	-0.7735537	Yes	
row_36	SLIT2	13525	-8.641379356384277	-0.7709345	Yes	
row_37	RPS10	13697	-9.30688190460205	-0.7769269	Yes	
row_38	PSMB5	13779	-9.604686737060547	-0.77694833	Yes	
row_39	RPL22	13825	-9.764169692993164	-0.7745595	Yes	
row_40	RPL28	13924	-10.17216968536377	-0.77537066	Yes	
row_41	PSMB7	13946	-10.252696990966797	-0.7711678	Yes	
row_42	UBA52	14000	-10.461018562316895	-0.7689176	Yes	
row_43	RPS27	14072	-10.775486946105957	-0.7676588	Yes	
row_44	RPS23	14079	-10.794565200805664	-0.762194	Yes	
row_45	NCBP2	14111	-10.921649932861328	-0.758274	Yes	
row_46	FAU	14130	-10.978684425354004	-0.75348395	Yes	
row_47	RPS29	14153	-11.09335994720459	-0.7488899	Yes	
row_48	RPS26	14175	-11.19080924987793	-0.7441785	Yes	
row_49	PSMC1	14310	-11.782416343688965	-0.7464404	Yes	
row_50	RPL39	14315	-11.796008110046387	-0.7403036	Yes	
row_51	PSMD14	14316	-11.79849910736084	-0.73390716	Yes	
row_52	PSMD7	14331	-11.918222427368164	-0.7283495	Yes	
row_53	PSMA6	14357	-12.051252365112305	-0.72342986	Yes	
row_54	RPL34	14379	-12.127610206604004	-0.7182105	Yes	
row_55	PSMB2	14424	-12.36228084564209	-0.7143487	Yes	
row_56	CASC3	14464	-12.520830154418945	-0.71007806	Yes	
row_57	RPL30	14531	-12.808835983276367	-0.7073942	Yes	
row_58	ADRM1	14569	-13.036571502685547	-0.7027149	Yes	
row_59	PSMD6	14636	-13.425376892089844	-0.6996968	Yes	
row_60	PSMA2	14639	-13.43297290802002	-0.6925434	Yes	
row_61	PSMC5	14647	-13.458044052124023	-0.6856991	Yes	
row_62	RPL41	14670	-13.657282829284668	-0.67971504	Yes	
row_63	RPS28	14685	-13.80173397064209	-0.6731363	Yes	
row_64	PSMD2	14688	-13.85042953491211	-0.6657566	Yes	
row_65	RPS12	14691	-13.869492530822754	-0.6583665	Yes	
row_66	PSMB4	14723	-13.993931770324707	-0.6527809	Yes	
row_67	PSMC2	14744	-14.144685745239258	-0.64640355	Yes	
row_68	RPL7	14752	-14.197656631469727	-0.6391583	Yes	
row_69	RPS16	14762	-14.259075164794922	-0.63200885	Yes	
row_70	RPS13	14767	-14.274654388427734	-0.6245282	Yes	
row_71	RPL29	14816	-14.609992027282715	-0.619706	Yes	
row_72	RPL31	14818	-14.636414527893066	-0.6118356	Yes	
row_73	RPL37	14867	-14.90073013305664	-0.60685575	Yes	
row_74	PSMD12	14872	-14.936115264892578	-0.5990165	Yes	
row_75	RPS5	14900	-15.172036170959473	-0.592534	Yes	
row_76	PSMD1	14931	-15.418195724487305	-0.5861117	Yes	
row_77	RPL15	14943	-15.508159637451172	-0.5784142	Yes	
row_78	RPS14	14956	-15.572731018066406	-0.57074624	Yes	
row_79	RNPS1	14974	-15.68828010559082	-0.5633384	Yes	
row_80	PSMA3	14979	-15.755492210388184	-0.55505496	Yes	
row_81	PSMC3	14981	-15.766551971435547	-0.54657185	Yes	
row_82	RPS21	15028	-16.10309410095215	-0.54081106	Yes	
row_83	RPS27A	15057	-16.317636489868164	-0.53377205	Yes	
row_84	PSMD3	15060	-16.33354377746582	-0.5250461	Yes	
row_85	RPL24	15076	-16.53788948059082	-0.51704854	Yes	
row_86	PABPC1	15104	-16.715078353881836	-0.5097295	Yes	
row_87	PSMD13	15128	-16.948200225830078	-0.5020259	Yes	
row_88	RPS6	15146	-17.044361114501953	-0.49388283	Yes	
row_89	RPS4X	15152	-17.084789276123047	-0.48494327	Yes	
row_90	RPL3	15183	-17.32544708251953	-0.477487	Yes	
