NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHI3L1	0	42.70404052734375	0.05621124	Yes	
row_1	CXCL8	53	26.440793991088867	0.08766965	Yes	
row_2	BIRC3	69	25.528640747070312	0.12030788	Yes	
row_3	TNFRSF21	77	25.13626480102539	0.15294433	Yes	
row_4	PTK2B	85	24.819705963134766	0.1851641	Yes	
row_5	TRAF1	108	24.165023803710938	0.21555704	Yes	
row_6	STAT1	143	22.847816467285156	0.24344409	Yes	
row_7	NPNT	154	22.541112899780273	0.27247155	Yes	
row_8	GBP1	205	21.45124626159668	0.2974909	Yes	
row_9	ASAH1	210	21.330272674560547	0.32531053	Yes	
row_10	BRCA1	279	19.847932815551758	0.34706137	Yes	
row_11	ZFP36L1	334	18.819242477416992	0.36835885	Yes	
row_12	GBP3	337	18.73415756225586	0.39288992	Yes	
row_13	SPHK1	362	18.311002731323242	0.41544855	Yes	
row_14	HAS2	370	18.235748291015625	0.43900186	Yes	
row_15	TNFSF18	404	17.844501495361328	0.46036738	Yes	
row_16	GBP2	422	17.571523666381836	0.482403	Yes	
row_17	CD58	431	17.420724868774414	0.50481915	Yes	
row_18	PID1	535	16.21526527404785	0.5195365	Yes	
row_19	ARHGEF2	607	15.362202644348145	0.5351898	Yes	
row_20	ZC3H12A	728	14.184761047363281	0.5461406	Yes	
row_21	NFKBIA	815	13.568731307983398	0.5584681	Yes	
row_22	TNFRSF1B	836	13.458540916442871	0.5748968	Yes	
row_23	SELE	980	12.435935020446777	0.5820659	Yes	
row_24	CCL2	997	12.286125183105469	0.5972087	Yes	
row_25	HYAL1	1086	11.713747024536133	0.6069658	Yes	
row_26	ERBIN	1805	8.209153175354004	0.571577	No	
row_27	TRADD	1875	7.984164237976074	0.57764727	No	
row_28	IGBP1	1912	7.86802339553833	0.5856878	No	
row_29	HYAL3	1922	7.830876350402832	0.5954165	No	
row_30	NR1D1	2523	5.988045692443848	0.56469595	No	
row_31	AFF3	2606	5.767552375793457	0.56701213	No	
row_32	JAK2	2613	5.757401943206787	0.57420456	No	
row_33	NKX3-1	2808	5.3381853103637695	0.56874967	No	
row_34	TRIM32	2882	5.140503883361816	0.5708195	No	
row_35	RIPK1	3069	4.7191853523254395	0.56506455	No	
row_36	CASP3	3097	4.664553165435791	0.56946737	No	
row_37	IKBKB	3170	4.5376691818237305	0.570808	No	
row_38	CIB1	3526	3.8353066444396973	0.5530165	No	
row_39	TANK	3529	3.8326969146728516	0.5579328	No	
row_40	ZFP36L2	3570	3.7814624309539795	0.5603368	No	
row_41	TNFRSF11A	3716	3.5291709899902344	0.55565333	No	
row_42	SMPD1	3832	3.3533754348754883	0.5526685	No	
row_43	CASP8	4382	2.5731923580169678	0.52073425	No	
row_44	COMMD7	4645	2.2620067596435547	0.50685525	No	
row_45	ADAM10	4660	2.2374839782714844	0.50889975	No	
row_46	SLC22A5	4679	2.20898175239563	0.5106493	No	
row_47	NUB1	4987	1.8774917125701904	0.493369	No	
row_48	BIRC2	5028	1.8461920022964478	0.49322563	No	
row_49	ADAMTS7	5194	1.6888679265975952	0.484833	No	
row_50	TRAF2	5398	1.4957036972045898	0.47374123	No	
row_51	GSDME	5569	1.366439700126648	0.46460247	No	
row_52	TP53	5695	1.2386637926101685	0.45819074	No	
row_53	PYCARD	6196	0.8679715394973755	0.4271644	No	
row_54	NFKB1	6288	0.8063364624977112	0.42237106	No	
row_55	GCH1	6395	0.7397249937057495	0.41652498	No	
row_56	TRAF3	6564	0.6470322608947754	0.40656793	No	
row_57	SIRT1	7180	0.30725640058517456	0.36740473	No	
row_58	TMSB4X	7580	0.13263867795467377	0.3419086	No	
row_59	RELA	8079	-0.02546672895550728	0.30990198	No	
row_60	INPP5K	8449	-0.15674513578414917	0.2863677	No	
row_61	HYAL2	8755	-0.2758729159832001	0.26710787	No	
row_62	ZFAND6	8938	-0.36129245162010193	0.25587398	No	
row_63	YTHDC2	9039	-0.41977110505104065	0.24999277	No	
row_64	ILK	9525	-0.7236793041229248	0.21974158	No	
row_65	GATA3	9691	-0.8664044737815857	0.21026632	No	
row_66	TRAF5	9712	-0.8819906115531921	0.21014054	No	
row_67	CACTIN	9721	-0.8938665986061096	0.21080242	No	
row_68	CXCL16	10481	-1.6451337337493896	0.16413565	No	
row_69	RRAGA	10588	-1.77500581741333	0.1596523	No	
row_70	DAB2IP	10605	-1.791684627532959	0.16098128	No	
row_71	TRAF6	10701	-1.8960554599761963	0.15736498	No	
row_72	CHUK	11206	-2.685471296310425	0.12847368	No	
row_73	TNFRSF1A	11522	-3.257058620452881	0.11249459	No	
row_74	BAG4	12129	-4.6667962074279785	0.079648875	No	
row_75	ST18	12130	-4.670117378234863	0.08579614	No	
row_76	GPER1	12136	-4.683472156524658	0.091639295	No	
row_77	NR2C2	12418	-5.359236240386963	0.08061477	No	
row_78	TXNDC17	12741	-6.2205610275268555	0.06808616	No	
row_79	FOXO3	12975	-6.898818016052246	0.06217639	No	
row_80	LIMS1	13199	-7.603975772857666	0.057838198	No	
row_81	MAP4K3	13805	-9.683992385864258	0.031660944	No	
row_82	YBX3	13894	-10.045546531677246	0.039222162	No	
row_83	ADAM9	14092	-10.831194877624512	0.04080473	No	
row_84	MAP2K7	14219	-11.370594024658203	0.047665276	No	
row_85	SFRP1	14844	-14.78046703338623	0.026974084	No	
row_86	NFE2L2	15245	-17.8277587890625	0.02470567	No	
