NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RRP7A	2940	5.009978294372559	-0.18773319	No	
row_1	ERI1	2957	4.958177089691162	-0.18630986	No	
row_2	RIOK2	4422	2.5252444744110107	-0.2797782	No	
row_3	RPL36A	5410	1.485113501548767	-0.3429005	No	
row_4	BUD23	7143	0.3238849937915802	-0.45479995	No	
row_5	RIOK3	7204	0.29900601506233215	-0.45853367	No	
row_6	UTP25	7504	0.16415809094905853	-0.4777975	No	
row_7	RPP14	7893	0.025522897019982338	-0.5028884	No	
row_8	RPP30	8008	-0.006611161399632692	-0.5102609	No	
row_9	FCF1	8175	-0.05662961304187775	-0.52097297	No	
row_10	DIS3	8912	-0.3446817696094513	-0.5684211	No	
row_11	THUMPD1	9072	-0.4361736476421356	-0.5784921	No	
row_12	RPP38	9302	-0.5757815837860107	-0.5930228	No	
row_13	TSR3	9329	-0.5962334275245667	-0.5944094	No	
row_14	PDCD11	9356	-0.609268307685852	-0.5957895	No	
row_15	ISG20L2	9453	-0.6686843037605286	-0.6016691	No	
row_16	PWP2	9459	-0.6738505959510803	-0.60165846	No	
row_17	KRR1	9804	-0.9501553773880005	-0.623444	No	
row_18	EXOSC1	9826	-0.967831015586853	-0.62432283	No	
row_19	UTP3	9833	-0.9748608469963074	-0.62422764	No	
row_20	RBM28	9987	-1.1159131526947021	-0.6335734	No	
row_21	RPS27L	10417	-1.5708860158920288	-0.66055065	No	
row_22	DDX52	10603	-1.790930986404419	-0.6716321	No	
row_23	CSNK1E	10772	-1.9942482709884644	-0.68151283	No	
row_24	TEX10	10807	-2.0489888191223145	-0.6826966	No	
row_25	RPP25	10940	-2.2629098892211914	-0.6901149	No	
row_26	EXOSC8	11033	-2.3938827514648438	-0.69488025	No	
row_27	UTP6	11090	-2.507939100265503	-0.6972599	No	
row_28	EXOSC6	11231	-2.7263331413269043	-0.704966	No	
row_29	WDR46	11366	-2.9699597358703613	-0.7121631	No	
row_30	UTP11	11515	-3.2479803562164307	-0.7201282	No	
row_31	EXOSC3	11685	-3.6375973224639893	-0.7292587	No	
row_32	MTREX	11740	-3.7791237831115723	-0.7308786	No	
row_33	UTP15	11778	-3.8678696155548096	-0.7313546	No	
row_34	DDX49	11804	-3.924860715866089	-0.73102593	No	
row_35	NOL9	11896	-4.130929946899414	-0.7348653	No	
row_36	DIMT1	11927	-4.196913242340088	-0.73472524	No	
row_37	UTP14A	11969	-4.277066707611084	-0.73525715	No	
row_38	RPL36AL	12207	-4.850736141204834	-0.74818575	No	
row_39	IMP3	12222	-4.870194911956787	-0.7466766	No	
row_40	SENP3	12223	-4.872448921203613	-0.7442606	No	
row_41	RPS20	12305	-5.078042030334473	-0.74698335	No	
row_42	UTP4	12364	-5.210200309753418	-0.74815243	No	
row_43	PES1	12400	-5.301582336425781	-0.74778813	No	
row_44	GAR1	12473	-5.489087104797363	-0.74972475	No	
row_45	RCL1	12483	-5.515741348266602	-0.74757206	No	
row_46	NIP7	12499	-5.5574469566345215	-0.74578685	No	
row_47	WDR75	12613	-5.888591766357422	-0.75017804	No	
row_48	RPP40	12627	-5.923518180847168	-0.748082	No	
row_49	LAS1L	12661	-5.977336883544922	-0.7472532	No	
